"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.373,0.362,0.383,0.407,0.374,0.36,0.334,0.416,0.334,0.384,0.678,0.116,0.334,0.438,0.147,0.768,0.251
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.333,0.361,0.306,0.205,0.309,0.42,0.461,0.254,0.355,0.392,0.079,0.68,0.317,0.266,0.644,0.066,0.395
"En blanco",0.111,0.123,0.101,0.185,0.11,0.063,0.079,0.123,0.117,0.089,0.078,0.089,0.096,0.113,0.064,0.037,0.142
"No sabe",0.183,0.154,0.21,0.203,0.207,0.157,0.126,0.207,0.194,0.135,0.165,0.115,0.253,0.183,0.145,0.129,0.212
