"var","categoria","Sí","No"
"P05","Mucho",0.503,0.369
"P05","Bastante",0.318,0.295
"P05","Poco",0.122,0.164
"P05","Nada",0.051,0.134
"P05","No sabe",0.006,0.038
"P06","Siempre",0.307,0.118
"P06","Casi siempre",0.416,0.314
"P06","Casi nunca",0.225,0.304
"P06","Nunca, pero esta es una excepción",0.052,0.264
"P09","Unión por la Patria",0.309,0.285
"P09","Juntos por el Cambio",0.252,0.235
"P09","Juntos Somos Río Negro",0.144,0.078
"P09","Liberales",0.159,0.156
"P09","Izquierda",0.013,0.07
"P09","Otro",0.022,0.043
"P09","No sabe",0.101,0.133
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.278,0.2
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.087,0.139
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.239,0.17
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.044,0.058
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.091,0.049
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.202,0.223
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.011,0.03
"P10","En blanco",0.024,0.028
"P10","No sabe",0.024,0.103
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.278,0.217
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0.113
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.063,0.322
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.232,0.132
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0
"P14","En blanco",0.113,0.196
"P14","No sabe",0.075,0.02
"P17","Sí",0.575,0.564
"P17","No",0.425,0.436
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.206,0.165
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.134,0.118
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.104,0.112
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.295,0.223
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.196,0.213
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.013,0.095
"P18","En blanco",0.017,0.049
"P18","No sabe",0.035,0.025
"P22","Totalmente seguro",0.646,0.613
"P22","Bastante seguro",0.191,0.188
"P22","Algo seguro",0.118,0.051
"P22","Para nada seguro",0.045,0.148
"P23","Tiene Decidido que va a ir a votar",0.972,0.884
