"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.28,0.275,0.284,0.289,0.213,0.287,0.444,0.205,0.27,0.386,0.187,0.45,0.338,0.298,0.392,0.13,0.077
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.273,0.336,0.214,0.319,0.299,0.226,0.205,0.289,0.313,0.188,0.152,0.377,0.254,0.235,0.39,0.032,0.398
"En blanco",0.26,0.277,0.245,0.199,0.283,0.313,0.207,0.269,0.239,0.286,0.409,0.076,0.195,0.234,0.121,0.58,0.393
"No sabe",0.187,0.112,0.257,0.193,0.205,0.174,0.144,0.237,0.178,0.14,0.252,0.097,0.213,0.233,0.097,0.258,0.132
