"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.181,0.166,0.195,0.151,0.147,0.239,0.238,0.189,0.151,0.223,0.2,0.211,0.173,0.196,0.21,0.161,0
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.166,0.16,0.172,0.137,0.169,0.169,0.202,0.135,0.183,0.174,0.179,0.187,0.15,0.169,0.205,0.119,0.039
"Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.104,0.12,0.089,0.065,0.106,0.111,0.154,0.052,0.133,0.116,0.065,0.153,0.132,0.08,0.156,0.085,0.11
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.227,0.188,0.266,0.314,0.212,0.198,0.175,0.277,0.209,0.201,0.282,0.171,0.294,0.324,0.147,0.154,0.084
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.158,0.187,0.131,0.141,0.173,0.179,0.11,0.142,0.159,0.177,0.149,0.2,0.122,0.125,0.18,0.262,0.382
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.07,0.098,0.042,0.166,0.049,0.022,0.047,0.09,0.068,0.047,0.061,0.002,0.059,0.036,0.008,0.093,0.316
"En blanco",0.046,0.04,0.051,0,0.071,0.057,0.029,0.063,0.049,0.021,0.027,0.044,0.025,0.053,0.03,0.051,0
"No sabe",0.048,0.041,0.054,0.026,0.073,0.025,0.045,0.052,0.048,0.041,0.037,0.032,0.045,0.017,0.064,0.075,0.069
