"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","GBA","Interior"
"Siempre",0.194,0.189,0.199,0.145,0.168,0.23,0.271,0.271,0.15,0.169,0.199,0.213,0.159,0.201,0.181
"Casi siempre",0.358,0.327,0.387,0.292,0.335,0.419,0.415,0.311,0.39,0.364,0.381,0.429,0.419,0.369,0.335
"Casi nunca",0.339,0.375,0.304,0.403,0.368,0.293,0.248,0.299,0.353,0.366,0.339,0.294,0.361,0.332,0.352
"Nunca, pero esta es una excepción",0.109,0.109,0.11,0.16,0.129,0.058,0.066,0.119,0.107,0.101,0.081,0.064,0.061,0.098,0.132
