"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","GBA","Interior"
"Mucho",0.35,0.397,0.304,0.334,0.332,0.363,0.391,0.311,0.325,0.443,0.392,0.385,0.232,0.348,0.351
"Bastante",0.304,0.299,0.309,0.253,0.303,0.35,0.311,0.225,0.335,0.352,0.32,0.385,0.179,0.313,0.287
"Poco",0.22,0.194,0.245,0.226,0.25,0.175,0.203,0.282,0.223,0.134,0.19,0.186,0.547,0.218,0.225
"Nada",0.098,0.083,0.113,0.129,0.1,0.091,0.065,0.148,0.089,0.049,0.081,0.037,0.03,0.1,0.094
"No sabe",0.028,0.027,0.029,0.058,0.015,0.021,0.03,0.034,0.028,0.022,0.017,0.007,0.012,0.021,0.043
