"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","GBA","Interior"
"Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.157,0.154,0.161,0.085,0.133,0.213,0.229,0.126,0.157,0.199,0.062,0.336,0.054,0.153,0.165
"Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.177,0.149,0.202,0.109,0.155,0.217,0.258,0.161,0.178,0.194,0.051,0.377,0.235,0.185,0.16
"Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.331,0.307,0.354,0.289,0.353,0.322,0.347,0.309,0.316,0.386,0.644,0.064,0.214,0.341,0.311
"A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.15,0.229,0.076,0.271,0.156,0.105,0.046,0.206,0.137,0.103,0.111,0.136,0.115,0.136,0.179
"A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.04,0.037,0.042,0.067,0.04,0.027,0.02,0.051,0.034,0.034,0.024,0.013,0.104,0.038,0.044
"No sabe",0.145,0.124,0.165,0.179,0.163,0.116,0.1,0.147,0.178,0.084,0.108,0.074,0.278,0.147,0.141
