"var","categoria","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.","No sabe"
"P04","Siempre",0.207,0.204,0.216,0.208,0.126,0.15
"P04","Casi siempre",0.431,0.407,0.412,0.288,0.366,0.291
"P04","Casi nunca",0.315,0.325,0.303,0.348,0.468,0.376
"P04","Nunca, pero esta es una excepción",0.047,0.064,0.069,0.156,0.04,0.183
"P05","Mucho",0.362,0.278,0.513,0.353,0.417,0.15
"P05","Bastante",0.433,0.409,0.273,0.35,0.173,0.24
"P05","Poco",0.152,0.263,0.169,0.202,0.262,0.287
"P05","Nada",0.039,0.048,0.037,0.091,0.06,0.241
"P05","No sabe",0.014,0.002,0.008,0.004,0.088,0.082
"P10","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.669,0.079,0.031,0.083,0.062,0.059
"P10","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.163,0.77,0.053,0.053,0.036,0.065
"P10","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.041,0.053,0.865,0.034,0.079,0.055
"P10","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.081,0.067,0.025,0.766,0.094,0.044
"P10","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.002,0.014,0.003,0.028,0.679,0.022
"P10","No sabe",0.044,0.017,0.023,0.036,0.05,0.755
"P13","Néstor Grindetti a gobernador y Fernando Burlando a vicegobernador por Juntos por el Cambio.",0.466,0.078,0.033,0.086,0.041,0.1
"P13","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.239,0.831,0.025,0.025,0.097,0.082
"P13","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.081,0.042,0.873,0.05,0.056,0.045
"P13","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.072,0.033,0.041,0.787,0.126,0.078
"P13","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.003,0.008,0.007,0.001,0.639,0.028
"P13","No sabe",0.139,0.008,0.021,0.051,0.041,0.667
"P16","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.614,0.098,0.047,0.071,0.144,0.061
"P16","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.168,0.795,0.043,0.043,0.071,0.104
"P16","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.084,0.046,0.773,0.054,0.04,0.061
"P16","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.057,0.037,0.031,0.77,0.071,0.092
"P16","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.001,0.006,0.015,0.021,0.65,0.038
"P16","No sabe",0.076,0.018,0.091,0.041,0.024,0.644
"P19","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.638,0.093,0.024,0.066,0.043,0.076
"P19","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.14,0.788,0.046,0.037,0.015,0.084
"P19","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.06,0.034,0.801,0.03,0.121,0.028
"P19","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.068,0.059,0.051,0.804,0.099,0.097
"P19","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.003,0.008,0.012,0.003,0.68,0.02
"P19","No sabe",0.091,0.018,0.066,0.06,0.042,0.695
"P22","Lo votaría",0.656,0.109,0.035,0.166,0.244,0.062
"P22","Puede que lo vote",0.177,0.319,0.056,0.15,0.125,0.151
"P22","Nunca lo votaría",0.098,0.334,0.798,0.463,0.399,0.38
"P22","No sabe",0.069,0.238,0.111,0.221,0.232,0.407
"P23","Lo votaría",0.293,0.747,0.009,0.063,0.233,0.044
"P23","Puede que lo vote",0.436,0.142,0.05,0.168,0.088,0.182
"P23","Nunca lo votaría",0.163,0.057,0.892,0.626,0.446,0.402
"P23","No sabe",0.108,0.054,0.049,0.143,0.233,0.372
"P24","Lo votaría",0.056,0.119,0.886,0.035,0.232,0.083
"P24","Puede que lo vote",0.104,0.047,0.036,0.03,0.165,0.077
"P24","Nunca lo votaría",0.814,0.813,0.065,0.888,0.45,0.645
"P24","No sabe",0.026,0.021,0.013,0.047,0.153,0.195
"P25","Lo votaría",0.056,0.023,0.093,0.467,0.082,0.082
"P25","Puede que lo vote",0.203,0.224,0.025,0.163,0.154,0.084
"P25","Nunca lo votaría",0.603,0.532,0.829,0.278,0.613,0.372
"P25","No sabe",0.138,0.221,0.053,0.092,0.151,0.462
"P26","Lo votaría",0.223,0.041,0.017,0.127,0.101,0.026
"P26","Puede que lo vote",0.288,0.225,0.012,0.177,0.137,0.061
"P26","Nunca lo votaría",0.255,0.442,0.888,0.496,0.48,0.393
"P26","No sabe",0.234,0.292,0.083,0.2,0.282,0.52
"P27","Lo votaría",0.227,0.031,0.006,0.03,0.095,0.008
"P27","Puede que lo vote",0.302,0.233,0.005,0.109,0.168,0.069
"P27","Nunca lo votaría",0.232,0.408,0.881,0.571,0.468,0.387
"P27","No sabe",0.239,0.328,0.108,0.29,0.269,0.536
"P28","Lo votaría",0.044,0.023,0.605,0.028,0.103,0.03
"P28","Puede que lo vote",0.043,0.074,0.213,0.092,0.118,0.013
"P28","Nunca lo votaría",0.843,0.858,0.155,0.751,0.526,0.679
"P28","No sabe",0.07,0.045,0.027,0.129,0.253,0.278
"P29","Lo votaría",0.087,0.063,0.071,0.124,0.161,0.105
"P29","Puede que lo vote",0.286,0.255,0.073,0.198,0.087,0.153
"P29","Nunca lo votaría",0.534,0.54,0.802,0.575,0.534,0.474
