"var","categoria","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.","No sabe"
"P04","Siempre",0.178,0.2,0.234,0.204,0.135,0.149
"P04","Casi siempre",0.473,0.416,0.43,0.332,0.4,0.43
"P04","Casi nunca",0.291,0.307,0.289,0.315,0.45,0.297
"P04","Nunca, pero esta es una excepción",0.058,0.077,0.047,0.149,0.015,0.124
"P05","Mucho",0.379,0.279,0.531,0.317,0.537,0.135
"P05","Bastante",0.398,0.401,0.319,0.382,0.054,0.339
"P05","Poco",0.186,0.238,0.109,0.195,0.266,0.317
"P05","Nada",0.035,0.08,0.032,0.093,0.015,0.154
"P05","No sabe",0.002,0.002,0.009,0.013,0.128,0.055
"P07","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.724,0.135,0.038,0.067,0.018,0.127
"P07","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.097,0.699,0.019,0.054,0.041,0.023
"P07","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.048,0.08,0.9,0.091,0.117,0.163
"P07","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.067,0.032,0.017,0.708,0.013,0.073
"P07","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.01,0.003,0.015,0.02,0.744,0.012
"P07","No sabe",0.054,0.051,0.011,0.06,0.067,0.602
"P10","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.708,0.078,0.058,0.113,0.014,0.087
"P10","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.142,0.739,0.051,0.056,0,0.059
"P10","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.061,0.084,0.845,0.113,0.116,0.125
"P10","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.071,0.059,0.025,0.648,0.053,0.095
"P10","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.004,0.004,0.007,0.01,0.728,0.004
"P10","No sabe",0.014,0.036,0.014,0.06,0.089,0.63
"P13","Néstor Grindetti a gobernador y Fernando Burlando a vicegobernador por Juntos por el Cambio.",0.475,0.096,0.043,0.084,0.084,0.036
"P13","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.251,0.743,0.02,0.076,0.006,0.063
"P13","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.078,0.091,0.886,0.119,0.095,0.122
"P13","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.09,0.06,0.043,0.695,0.019,0.069
"P13","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.006,0,0.002,0.003,0.756,0.007
"P13","No sabe",0.1,0.01,0.006,0.023,0.04,0.703
"P16","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.612,0.117,0.056,0.105,0.026,0.087
"P16","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.175,0.713,0.059,0.06,0.041,0.044
"P16","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.085,0.078,0.829,0.131,0.036,0.071
"P16","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.079,0.064,0.023,0.674,0.006,0.049
"P16","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.002,0,0.001,0.027,0.883,0.011
"P16","No sabe",0.047,0.028,0.032,0.003,0.008,0.738
"P22","Lo votaría",0.674,0.144,0.051,0.169,0.053,0.065
"P22","Puede que lo vote",0.124,0.348,0.046,0.148,0.135,0.16
"P22","Nunca lo votaría",0.156,0.319,0.784,0.441,0.601,0.388
"P22","No sabe",0.046,0.189,0.119,0.242,0.211,0.387
"P23","Lo votaría",0.278,0.707,0.039,0.075,0.058,0.035
"P23","Puede que lo vote",0.419,0.176,0.042,0.205,0.094,0.134
"P23","Nunca lo votaría",0.241,0.091,0.85,0.576,0.641,0.442
"P23","No sabe",0.062,0.026,0.069,0.144,0.207,0.389
"P24","Lo votaría",0.077,0.12,0.854,0.147,0.138,0.183
"P24","Puede que lo vote",0.098,0.032,0.051,0.037,0.219,0.054
"P24","Nunca lo votaría",0.815,0.826,0.09,0.767,0.466,0.565
"P24","No sabe",0.01,0.022,0.005,0.049,0.177,0.198
"P25","Lo votaría",0.075,0.031,0.068,0.463,0.053,0.054
"P25","Puede que lo vote",0.19,0.219,0.043,0.149,0.14,0.066
"P25","Nunca lo votaría",0.594,0.567,0.825,0.295,0.649,0.449
"P25","No sabe",0.141,0.183,0.064,0.093,0.158,0.431
"P26","Lo votaría",0.241,0.027,0.025,0.132,0.006,0.027
"P26","Puede que lo vote",0.282,0.244,0.034,0.135,0.126,0.039
"P26","Nunca lo votaría",0.299,0.446,0.85,0.528,0.534,0.423
"P26","No sabe",0.178,0.283,0.091,0.205,0.334,0.511
"P27","Lo votaría",0.162,0.059,0.007,0.052,0.038,0.066
"P27","Puede que lo vote",0.321,0.235,0.027,0.085,0.135,0.034
"P27","Nunca lo votaría",0.279,0.395,0.854,0.577,0.536,0.427
"P27","No sabe",0.238,0.311,0.112,0.286,0.291,0.473
"P28","Lo votaría",0.049,0.04,0.597,0.092,0.109,0.071
"P28","Puede que lo vote",0.087,0.069,0.216,0.064,0.037,0.054
"P28","Nunca lo votaría",0.85,0.852,0.164,0.71,0.624,0.549
"P28","No sabe",0.014,0.039,0.023,0.134,0.23,0.326
"P29","Lo votaría",0.09,0.071,0.076,0.134,0.085,0.068
"P29","Puede que lo vote",0.277,0.227,0.092,0.215,0.026,0.135
"P29","Nunca lo votaría",0.556,0.57,0.785,0.534,0.646,0.528
"P29","No sabe",0.077,0.132,0.047,0.117,0.243,0.269
"P30","Lo votaría",0.037,0.025,0.415,0.043,0.019,0.047
"P30","Puede que lo vote",0.043,0.073,0.308,0.088,0.137,0.042
"P30","Nunca lo votaría",0.885,0.848,0.237,0.757,0.555,0.614
"P30","No sabe",0.035,0.054,0.04,0.112,0.289,0.297
"P31","Si",0.641,0.523,0.572,0.513,0.663,0.543
"P31","No",0.359,0.477,0.428,0.487,0.337,0.457
