"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","GBA","Interior"
"Si",0.564,0.591,0.537,0.47,0.567,0.572,0.626,0.579,0.567,0.544,0.561,0.593,0.596,0.58,0.53
"No",0.436,0.409,0.463,0.53,0.433,0.428,0.374,0.421,0.433,0.456,0.439,0.407,0.404,0.42,0.47
