"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","GBA","Interior"
"Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.158,0.149,0.167,0.095,0.123,0.21,0.237,0.111,0.164,0.204,0.081,0.299,0.094,0.168,0.138
"Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.203,0.165,0.239,0.136,0.183,0.249,0.255,0.198,0.2,0.213,0.101,0.37,0.254,0.201,0.206
"Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.321,0.296,0.345,0.272,0.335,0.315,0.348,0.308,0.3,0.368,0.608,0.083,0.204,0.322,0.318
"A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.158,0.237,0.083,0.269,0.181,0.106,0.06,0.199,0.163,0.104,0.107,0.178,0.145,0.145,0.185
"A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.035,0.039,0.031,0.073,0.031,0.019,0.026,0.051,0.024,0.036,0.019,0.005,0.129,0.034,0.038
"No sabe",0.125,0.114,0.135,0.155,0.147,0.101,0.074,0.133,0.149,0.075,0.084,0.065,0.174,0.13,0.115
