"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P06","Mucho",0.445,0.303,0.357,0.581,0.322,0.32,0.326,0.329,0.299,0.178
"P06","Bastante",0.283,0.303,0.423,0.132,0.4,0.287,0.298,0.204,0.161,0.121
"P06","Poco",0.157,0.276,0.145,0.122,0.131,0.175,0.204,0.124,0.113,0.202
"P06","Nada",0.059,0.076,0.013,0.151,0.109,0.171,0.152,0.315,0.33,0.322
"P06","No sabe",0.056,0.042,0.062,0.014,0.038,0.047,0.02,0.028,0.097,0.177
"P07","Siempre",0.263,0.092,0.191,0.173,0.345,0.255,0.224,0.208,0.15,0.116
"P07","Casi siempre",0.315,0.367,0.244,0.383,0.336,0.345,0.263,0.204,0.119,0.181
"P07","Casi nunca",0.285,0.437,0.423,0.262,0.261,0.269,0.367,0.381,0.387,0.288
"P07","Nunca, pero esta es una excepción",0.137,0.104,0.142,0.182,0.058,0.131,0.146,0.207,0.344,0.415
"P11","Totalmente seguro",0.667,0.431,0.37,0.582,0.769,0.595,0.66,0.361,0.485,0.099
"P11","Bastante seguro",0.148,0.147,0.239,0.202,0.141,0.202,0.111,0.076,0.09,0.022
"P11","Algo seguro",0.128,0.277,0.2,0.087,0.034,0.115,0.127,0.244,0.112,0.105
"P11","Para nada seguro",0.057,0.145,0.191,0.129,0.056,0.088,0.102,0.319,0.313,0.774
"P12","Tiene Decidido que va a ir a votar",0.883,0.714,0.876,0.89,0.905,0.796,0.84,0.773,0.798,0.507
"P12","Tiene dudas sobre si va a ir a  votar",0.08,0.154,0.057,0.075,0.068,0.13,0.122,0.098,0.148,0.204
"P12","Tiene Decidido que no va a ir a votar",0.037,0.132,0.067,0.035,0.027,0.074,0.038,0.129,0.054,0.289
"P13","Fernando Espinoza a intendente por Unión por la Patria",0.677,0.202,0.364,0.18,0.103,0.032,0.044,0,0.069,0.05
"P13","Patricia Cubria a intendente por Unión por la Patria",0.071,0.424,0.119,0.412,0.017,0.086,0.052,0,0.009,0.02
"P13","María Laura Ramírez a intendente por Unión por la Patria",0.005,0.036,0.016,0,0.003,0.015,0.032,0,0.003,0.011
"P13","Eduardo “Lalo” Creus por Juntos por el Cambio",0.056,0.027,0.097,0.125,0.504,0.18,0.086,0.018,0.143,0.149
"P13","Josefina Mendoza por Juntos por el Cambio",0.019,0.027,0.036,0.013,0.061,0.212,0.013,0.018,0.073,0.012
"P13","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.017,0.072,0.069,0.032,0.147,0.187,0.046,0.058,0.024,0.045
"P13","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.031,0.034,0.04,0.051,0.075,0.032,0.551,0.167,0.062,0.017
"P13","Alberto Samid a intendente por Principios y Valores",0.007,0.028,0.074,0,0.002,0.012,0.007,0,0.096,0
