"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Tiene Decidido que va a ir a votar",0.822,0.809,0.833,0.702,0.888,0.867,0.795,0.77,0.841,0.895,0.86,0.858,0.729,0.8,0.721,0.802,0.882,0.865
"Tiene dudas sobre si va a ir a  votar",0.107,0.111,0.105,0.123,0.097,0.099,0.119,0.138,0.091,0.079,0.097,0.102,0.049,0.137,0.136,0.126,0.081,0.087
"Tiene Decidido que no va a ir a votar",0.071,0.08,0.062,0.175,0.015,0.034,0.086,0.092,0.068,0.026,0.043,0.04,0.222,0.063,0.143,0.072,0.037,0.048
