"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Fernando Espinoza a intendente por Unión por la Patria",0.281,0.27,0.291,0.22,0.29,0.304,0.343,0.289,0.28,0.267,0.555,0.095,0.036,0.102,0.267,0.291,0.26,0.307
"Patricia Cubria a intendente por Unión por la Patria",0.112,0.108,0.115,0.085,0.132,0.141,0.063,0.111,0.104,0.136,0.17,0.063,0.107,0.207,0.11,0.122,0.118,0.088
"María Laura Ramírez a intendente por Unión por la Patria",0.015,0.012,0.018,0.019,0.003,0.012,0.044,0.02,0.01,0.017,0.01,0.014,0.029,0.024,0.027,0.015,0.013,0.006
"Eduardo “Lalo” Creus por Juntos por el Cambio",0.203,0.211,0.195,0.205,0.169,0.213,0.278,0.231,0.185,0.181,0.053,0.412,0.357,0.068,0.204,0.201,0.218,0.184
"Josefina Mendoza por Juntos por el Cambio",0.059,0.053,0.064,0.046,0.078,0.042,0.054,0.065,0.057,0.048,0.038,0.095,0.012,0.091,0.076,0.038,0.065,0.068
"Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.091,0.078,0.104,0.092,0.062,0.138,0.103,0.075,0.094,0.126,0.038,0.177,0.193,0.035,0.073,0.074,0.131,0.084
"Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.17,0.19,0.153,0.243,0.188,0.104,0.077,0.149,0.2,0.139,0.091,0.131,0.23,0.168,0.185,0.179,0.135,0.189
"Alberto Samid a intendente por Principios y Valores",0.024,0.03,0.018,0.046,0.012,0.024,0.015,0.019,0.023,0.037,0.017,0.004,0.032,0,0.025,0.033,0.015,0.02
"Alguno de los candidatos a intendente de la Izquierda",0.045,0.048,0.042,0.044,0.066,0.022,0.023,0.041,0.047,0.049,0.028,0.009,0.004,0.305,0.033,0.047,0.045,0.054
