"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Totalmente seguro",0.581,0.622,0.543,0.503,0.605,0.605,0.622,0.557,0.575,0.657,0.615,0.632,0.59,0.504,0.557,0.55,0.627,0.587
"Bastante seguro",0.137,0.134,0.14,0.125,0.139,0.122,0.181,0.122,0.149,0.14,0.131,0.188,0.207,0.195,0.088,0.158,0.138,0.149
"Algo seguro",0.122,0.108,0.135,0.166,0.092,0.148,0.083,0.123,0.124,0.114,0.124,0.101,0.142,0.125,0.126,0.138,0.091,0.136
"Para nada seguro",0.16,0.136,0.182,0.206,0.164,0.125,0.114,0.198,0.152,0.089,0.13,0.079,0.061,0.176,0.229,0.154,0.144,0.128
