"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Siempre",0.226,0.276,0.181,0.183,0.218,0.238,0.314,0.245,0.193,0.27,0.252,0.224,0.403,0.222,0.217,0.19,0.265,0.237
"Casi siempre",0.285,0.256,0.311,0.181,0.284,0.379,0.352,0.261,0.293,0.323,0.302,0.372,0.116,0.315,0.261,0.27,0.325,0.277
"Casi nunca",0.318,0.286,0.346,0.393,0.332,0.264,0.208,0.293,0.353,0.28,0.314,0.299,0.36,0.372,0.305,0.343,0.292,0.325
"Nunca, pero esta es una excepción",0.171,0.182,0.162,0.243,0.166,0.119,0.126,0.201,0.161,0.127,0.132,0.105,0.121,0.091,0.217,0.197,0.118,0.161
