"var","categoria","Fernando Espinoza a intendente por Unión por la Patria","Patricia Cubria a intendente por Unión por la Patria","María Laura Ramírez a intendente por Unión por la Patria","Eduardo “Lalo” Creus por Juntos por el Cambio","Josefina Mendoza por Juntos por el Cambio","Héctor “Toty” Flores a intendente por Juntos por el Cambio","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza","Alberto Samid a intendente por Principios y Valores","Alguno de los candidatos a intendente de la Izquierda"
"P11","Algo seguro",0.108,0.155,0.139,0.103,0.089,0.19,0.122,0.061,0.227
"P11","Para nada seguro",0.11,0.167,0.536,0.154,0.204,0.18,0.115,0.489,0.191
"P12","Tiene Decidido que va a ir a votar",0.862,0.806,0.343,0.837,0.818,0.782,0.922,0.588,0.735
"P12","Tiene dudas sobre si va a ir a  votar",0.11,0.153,0.356,0.07,0.072,0.086,0.06,0.122,0.219
"P12","Tiene Decidido que no va a ir a votar",0.028,0.041,0.301,0.093,0.11,0.132,0.018,0.29,0.046
"P16","Lo votaría",0.665,0.06,0.044,0.085,0.114,0.008,0.071,0.116,0.006
"P16","Puede que lo vote",0.122,0.251,0.073,0.062,0.064,0.023,0.085,0.129,0.096
"P16","Nunca lo votaría",0.097,0.531,0.627,0.708,0.655,0.888,0.735,0.475,0.752
"P16","No sabe",0.116,0.158,0.256,0.145,0.167,0.081,0.109,0.28,0.146
"P17","Lo votaría",0.052,0.447,0.024,0.065,0.199,0.027,0.085,0,0.004
"P17","Puede que lo vote",0.191,0.229,0.084,0.092,0.06,0.055,0.063,0.143,0.258
"P17","Nunca lo votaría",0.513,0.258,0.445,0.616,0.43,0.692,0.622,0.59,0.542
"P17","No sabe",0.244,0.066,0.447,0.227,0.311,0.226,0.23,0.267,0.196
"P18","Lo votaría",0.044,0.023,0.129,0.079,0.112,0.013,0.11,0,0
"P18","Puede que lo vote",0.097,0.13,0.043,0.075,0.138,0.111,0.097,0.035,0.085
"P18","Nunca lo votaría",0.575,0.587,0.384,0.542,0.496,0.592,0.558,0.717,0.584
"P18","No sabe",0.284,0.26,0.444,0.304,0.254,0.284,0.235,0.248,0.331
"P19","Lo votaría",0.054,0.032,0.176,0.403,0.168,0.11,0.099,0,0
"P19","Puede que lo vote",0.07,0.118,0.074,0.156,0.08,0.287,0.139,0.019,0.043
"P19","Nunca lo votaría",0.606,0.669,0.596,0.225,0.445,0.342,0.528,0.733,0.619
"P19","No sabe",0.27,0.181,0.154,0.216,0.307,0.261,0.234,0.248,0.338
"P20","Lo votaría",0.065,0.04,0,0.062,0.196,0.051,0.066,0,0.007
"P20","Puede que lo vote",0.054,0.123,0.07,0.102,0.174,0.102,0.085,0.066,0.22
"P20","Nunca lo votaría",0.569,0.556,0.68,0.565,0.307,0.609,0.603,0.676,0.447
"P20","No sabe",0.312,0.281,0.25,0.271,0.323,0.238,0.246,0.258,0.326
"P21","Lo votaría",0.058,0.056,0.154,0.216,0.227,0.516,0.122,0.033,0.012
"P21","Puede que lo vote",0.069,0.103,0.077,0.218,0.205,0.124,0.149,0.181,0.041
"P21","Nunca lo votaría",0.65,0.719,0.609,0.337,0.353,0.235,0.508,0.674,0.738
"P21","No sabe",0.223,0.122,0.16,0.229,0.215,0.125,0.221,0.112,0.209
"P22","Lo votaría",0.063,0.066,0.013,0.124,0.254,0.043,0.452,0.073,0.013
"P22","Puede que lo vote",0.082,0.027,0.116,0.107,0.115,0.197,0.093,0.044,0.054
"P22","Nunca lo votaría",0.639,0.843,0.549,0.5,0.41,0.561,0.303,0.718,0.799
"P22","No sabe",0.216,0.064,0.322,0.269,0.221,0.199,0.152,0.165,0.134
"P23","Lo votaría",0.07,0.041,0.019,0.087,0.144,0.027,0.063,0.337,0.027
"P23","Puede que lo vote",0.097,0.13,0.04,0.037,0.025,0.049,0.046,0.047,0.135
"P23","Nunca lo votaría",0.601,0.701,0.806,0.735,0.719,0.828,0.734,0.477,0.633
"P23","No sabe",0.232,0.128,0.135,0.141,0.112,0.096,0.157,0.139,0.205
"P24","Si",0.49,0.377,0.299,0.4,0.239,0.407,0.339,0.334,0.422
"P24","No",0.51,0.623,0.701,0.6,0.761,0.593,0.661,0.666,0.578
