"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros"
"P06","Mucho",0.43,0.273,0.351,0.562,0.308,0.314,0.303,0.313,0.273
"P06","Bastante",0.266,0.301,0.431,0.118,0.362,0.271,0.287,0.225,0.152
"P06","Poco",0.153,0.297,0.142,0.127,0.135,0.191,0.197,0.135,0.127
"P06","Nada",0.077,0.091,0.015,0.181,0.142,0.167,0.184,0.3,0.31
"P06","No sabe",0.074,0.038,0.061,0.012,0.053,0.057,0.029,0.027,0.138
"P07","Siempre",0.26,0.083,0.19,0.159,0.314,0.252,0.215,0.199,0.137
"P07","Casi siempre",0.304,0.366,0.259,0.34,0.308,0.338,0.261,0.211,0.109
"P07","Casi nunca",0.283,0.427,0.413,0.233,0.272,0.265,0.348,0.393,0.424
"P07","Nunca, pero esta es una excepción",0.153,0.124,0.138,0.268,0.106,0.145,0.176,0.197,0.33
"P11","Totalmente seguro",0.615,0.407,0.361,0.567,0.692,0.566,0.62,0.344,0.439
"P11","Bastante seguro",0.139,0.132,0.233,0.18,0.126,0.201,0.102,0.072,0.087
"P11","Algo seguro",0.124,0.275,0.214,0.077,0.042,0.118,0.121,0.232,0.101
"P11","Para nada seguro",0.122,0.186,0.192,0.176,0.14,0.115,0.157,0.352,0.373
"P12","Tiene Decidido que va a ir a votar",0.846,0.724,0.879,0.902,0.859,0.763,0.808,0.777,0.75
"P12","Tiene dudas sobre si va a ir a  votar",0.092,0.154,0.056,0.066,0.075,0.155,0.138,0.096,0.137
"P12","Tiene Decidido que no va a ir a votar",0.062,0.122,0.065,0.032,0.066,0.082,0.054,0.127,0.113
"P13_imputadas","Fernando Espinoza a intendente por Unión por la Patria",0.711,0.215,0.43,0.167,0.097,0.058,0.067,0,0.074
"P13_imputadas","Patricia Cubria a intendente por Unión por la Patria",0.069,0.429,0.125,0.439,0.033,0.102,0.059,0.041,0.037
"P13_imputadas","María Laura Ramírez a intendente por Unión por la Patria",0.004,0.034,0.016,0,0.012,0.017,0.029,0,0.018
"P13_imputadas","Eduardo “Lalo” Creus por Juntos por el Cambio",0.069,0.092,0.095,0.116,0.538,0.201,0.13,0.026,0.233
"P13_imputadas","Josefina Mendoza por Juntos por el Cambio",0.04,0.025,0.036,0.012,0.069,0.263,0.014,0.017,0.072
"P13_imputadas","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.032,0.067,0.087,0.092,0.141,0.223,0.059,0.103,0.139
"P13_imputadas","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.055,0.086,0.044,0.047,0.089,0.031,0.603,0.183,0.189
"P13_imputadas","Alberto Samid a intendente por Principios y Valores",0.008,0.025,0.072,0.011,0.012,0.044,0.012,0,0.144
"P13_imputadas","Alguno de los candidatos a intendente de la Izquierda",0.012,0.027,0.095,0.116,0.009,0.061,0.027,0.63,0.094
"P16","Lo votaría",0.599,0.1,0.385,0.079,0.131,0.064,0.042,0,0.114
"P16","Puede que lo vote",0.131,0.184,0.175,0.196,0.047,0.036,0.096,0.146,0.024
"P16","Nunca lo votaría",0.141,0.541,0.332,0.612,0.738,0.733,0.743,0.83,0.493
"P16","No sabe",0.129,0.175,0.108,0.113,0.084,0.167,0.119,0.024,0.369
"P17","Lo votaría",0.076,0.254,0.091,0.323,0.083,0.095,0.072,0,0.112
"P17","Puede que lo vote",0.12,0.225,0.307,0.284,0.096,0.084,0.101,0.191,0.072
"P17","Nunca lo votaría",0.538,0.334,0.365,0.324,0.671,0.561,0.566,0.743,0.468
"P17","No sabe",0.266,0.187,0.237,0.069,0.15,0.26,0.261,0.066,0.348
"P18","Lo votaría",0.026,0.036,0.006,0.005,0.114,0.075,0.078,0.016,0.107
"P18","Puede que lo vote",0.091,0.108,0.07,0.153,0.069,0.112,0.14,0.065,0.039
"P18","Nunca lo votaría",0.581,0.495,0.69,0.548,0.597,0.525,0.54,0.665,0.474
"P18","No sabe",0.302,0.361,0.234,0.294,0.22,0.288,0.242,0.254,0.38
"P19","Lo votaría",0.038,0.023,0.031,0.035,0.411,0.158,0.096,0,0.168
"P19","Puede que lo vote",0.073,0.127,0.015,0.118,0.16,0.174,0.18,0.104,0.059
"P19","Nunca lo votaría",0.653,0.537,0.775,0.635,0.257,0.363,0.476,0.505,0.365
"P19","No sabe",0.236,0.313,0.179,0.212,0.172,0.305,0.248,0.391,0.408
"P20","Lo votaría",0.058,0.05,0.016,0.036,0.097,0.123,0.04,0.02,0.077
"P20","Puede que lo vote",0.056,0.101,0.197,0.062,0.096,0.211,0.088,0.222,0.036
"P20","Nunca lo votaría",0.567,0.521,0.515,0.604,0.607,0.348,0.611,0.545,0.519
"P20","No sabe",0.319,0.328,0.272,0.298,0.2,0.318,0.261,0.213,0.368
"P21","Lo votaría",0.042,0.035,0.014,0.047,0.403,0.319,0.094,0.051,0.111
"P21","Puede que lo vote",0.053,0.142,0.112,0.035,0.217,0.186,0.174,0.078,0.067
"P21","Nunca lo votaría",0.683,0.562,0.743,0.779,0.247,0.326,0.507,0.807,0.403
"P21","No sabe",0.222,0.261,0.131,0.139,0.133,0.169,0.225,0.064,0.419
"P22","Lo votaría",0.06,0.021,0.098,0.01,0.159,0.122,0.415,0.147,0.146
"P22","Puede que lo vote",0.043,0.097,0.103,0.083,0.134,0.114,0.126,0.105,0.041
"P22","Nunca lo votaría",0.683,0.642,0.704,0.771,0.515,0.557,0.302,0.691,0.451
"P22","No sabe",0.214,0.24,0.095,0.136,0.192,0.207,0.157,0.057,0.362
"P23","Lo votaría",0.082,0.067,0.034,0.013,0.078,0.096,0.044,0,0.206
"P23","Puede que lo vote",0.091,0.133,0.097,0.104,0.047,0.041,0.033,0.171,0.04
"P23","Nunca lo votaría",0.616,0.623,0.708,0.772,0.78,0.752,0.735,0.74,0.442
"P23","No sabe",0.211,0.177,0.161,0.111,0.095,0.111,0.188,0.089,0.312
"P24","Si",0.448,0.355,0.426,0.468,0.435,0.307,0.404,0.284,0.185
"P24","No",0.552,0.645,0.574,0.532,0.565,0.693,0.596,0.716,0.815
