"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.384,0.232,0.155
"P06","Bastante",0.315,0.168,0.116
"P06","Poco",0.153,0.339,0.179
"P06","Nada",0.115,0.167,0.269
"P06","No sabe",0.033,0.094,0.281
"P07","Siempre",0.253,0.14,0.09
"P07","Casi siempre",0.322,0.244,0.131
"P07","Casi nunca",0.298,0.417,0.437
"P07","Nunca, pero esta es una excepción",0.127,0.199,0.342
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.266,0.184,0.128
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.07,0.115,0.149
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.046,0.023,0.041
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.049,0.032,0.023
"P08","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.204,0.117,0.07
"P08","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.082,0.102,0.089
"P08","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.167,0.185,0.088
"P08","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.018,0.035
"P08","Otros",0.046,0.065,0.036
"P08","No sabe",0.052,0.159,0.341
"P11","Totalmente seguro",0.671,0.204,0.147
"P11","Bastante seguro",0.129,0.208,0.048
"P11","Algo seguro",0.098,0.239,0.252
"P11","Para nada seguro",0.102,0.349,0.553
"P13","Fernando Espinoza a intendente por Unión por la Patria",0.274,0.167,0.056
"P13","Patricia Cubria a intendente por Unión por la Patria",0.099,0.123,0.024
"P13","María Laura Ramírez a intendente por Unión por la Patria",0.006,0.034,0.066
"P13","Eduardo “Lalo” Creus por Juntos por el Cambio",0.18,0.096,0.136
"P13","Josefina Mendoza por Juntos por el Cambio",0.048,0.039,0.012
"P13","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.07,0.048,0.119
"P13","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.147,0.049,0.042
"P13","Alberto Samid a intendente por Principios y Valores",0.014,0.011,0.022
"P13","Alguno de los candidatos a intendente de la Izquierda",0.038,0.069,0.005
"P13","No sabe",0.124,0.364,0.518
"P16","Lo votaría",0.253,0.198,0.052
"P16","Puede que lo vote",0.104,0.119,0.084
"P16","Nunca lo votaría",0.55,0.393,0.407
"P16","No sabe",0.093,0.29,0.457
"P17","Lo votaría",0.109,0.126,0.049
"P17","Puede que lo vote",0.135,0.135,0.108
"P17","Nunca lo votaría",0.558,0.374,0.468
"P17","No sabe",0.198,0.365,0.375
"P18","Lo votaría",0.052,0.103,0.127
"P18","Puede que lo vote",0.106,0.068,0.027
"P18","Nunca lo votaría",0.583,0.445,0.46
"P18","No sabe",0.259,0.384,0.386
"P19","Lo votaría",0.145,0.115,0.087
"P19","Puede que lo vote",0.127,0.096,0.109
"P19","Nunca lo votaría",0.505,0.353,0.485
"P19","No sabe",0.223,0.436,0.319
"P20","Lo votaría",0.058,0.139,0.04
"P20","Puede que lo vote",0.101,0.109,0.005
"P20","Nunca lo votaría",0.58,0.329,0.607
"P20","No sabe",0.261,0.423,0.348
"P21","Lo votaría",0.162,0.149,0.018
"P21","Puede que lo vote",0.13,0.212,0.044
"P21","Nunca lo votaría",0.531,0.325,0.54
"P21","No sabe",0.177,0.314,0.398
"P22","Lo votaría",0.155,0.144,0.131
"P22","Puede que lo vote",0.095,0.127,0.033
"P22","Nunca lo votaría",0.577,0.412,0.478
"P22","No sabe",0.173,0.317,0.358
"P23","Lo votaría",0.06,0.144,0.158
"P23","Puede que lo vote",0.073,0.071,0.033
"P23","Nunca lo votaría",0.72,0.499,0.564
"P23","No sabe",0.147,0.286,0.245
"P24","Si",0.413,0.394,0.23
"P24","No",0.587,0.606,0.77
