"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Mucho",0.439,0.278,0.261,0.17
"P06","Bastante",0.305,0.391,0.246,0.16
"P06","Poco",0.117,0.198,0.372,0.205
"P06","Nada",0.103,0.1,0.046,0.328
"P06","No sabe",0.036,0.033,0.075,0.137
"P07","Siempre",0.307,0.177,0.123,0.082
"P07","Casi siempre",0.316,0.385,0.275,0.186
"P07","Casi nunca",0.271,0.367,0.452,0.376
"P07","Nunca, pero esta es una excepción",0.106,0.071,0.15,0.356
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.282,0.266,0.258,0.087
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.06,0.087,0.183,0.073
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.027,0.075,0.071,0.051
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.045,0.066,0.032,0.036
"P08","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.247,0.191,0.052,0.064
"P08","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.091,0.13,0.083,0.049
"P08","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.183,0.13,0.168,0.103
"P08","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.012,0.01,0.038,0.038
"P08","Otros",0.039,0.031,0.042,0.09
"P08","No sabe",0.014,0.014,0.073,0.409
"P12","Tiene Decidido que va a ir a votar",0.945,0.804,0.649,0.523
"P12","Tiene dudas sobre si va a ir a  votar",0.037,0.17,0.207,0.233
"P12","Tiene Decidido que no va a ir a votar",0.018,0.026,0.144,0.244
"P13","Fernando Espinoza a intendente por Unión por la Patria",0.296,0.248,0.199,0.112
"P13","Patricia Cubria a intendente por Unión por la Patria",0.097,0.115,0.126,0.053
"P13","María Laura Ramírez a intendente por Unión por la Patria",0.006,0.011,0.015,0.039
"P13","Eduardo “Lalo” Creus por Juntos por el Cambio",0.187,0.179,0.115,0.134
"P13","Josefina Mendoza por Juntos por el Cambio",0.051,0.052,0.032,0.027
"P13","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.068,0.082,0.115,0.038
"P13","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.166,0.096,0.101,0.049
"P13","Alberto Samid a intendente por Principios y Valores",0.014,0.012,0.012,0.022
"P13","Alguno de los candidatos a intendente de la Izquierda",0.022,0.078,0.081,0.033
"P13","No sabe",0.093,0.127,0.204,0.493
"P16","Lo votaría",0.28,0.238,0.15,0.134
"P16","Puede que lo vote",0.075,0.193,0.167,0.083
"P16","Nunca lo votaría",0.569,0.495,0.492,0.425
"P16","No sabe",0.076,0.074,0.191,0.358
"P17","Lo votaría",0.131,0.07,0.086,0.062
"P17","Puede que lo vote",0.112,0.185,0.26,0.063
"P17","Nunca lo votaría",0.598,0.513,0.409,0.422
"P17","No sabe",0.159,0.232,0.245,0.453
"P18","Lo votaría",0.081,0.002,0.059,0.033
"P18","Puede que lo vote",0.094,0.156,0.108,0.053
"P18","Nunca lo votaría",0.619,0.57,0.466,0.425
"P18","No sabe",0.206,0.272,0.367,0.489
"P19","Lo votaría",0.182,0.119,0.059,0.053
"P19","Puede que lo vote",0.12,0.184,0.126,0.081
"P19","Nunca lo votaría",0.515,0.453,0.51,0.405
"P19","No sabe",0.183,0.244,0.305,0.461
"P20","Lo votaría",0.071,0.098,0.031,0.036
"P20","Puede que lo vote",0.076,0.156,0.159,0.067
"P20","Nunca lo votaría",0.617,0.482,0.505,0.442
"P20","No sabe",0.236,0.264,0.305,0.455
"P21","Lo votaría",0.189,0.194,0.033,0.072
"P21","Puede que lo vote",0.13,0.143,0.15,0.113
"P21","Nunca lo votaría",0.534,0.505,0.474,0.486
"P21","No sabe",0.147,0.158,0.343,0.329
"P22","Lo votaría",0.19,0.097,0.098,0.094
"P22","Puede que lo vote",0.09,0.173,0.077,0.051
"P22","Nunca lo votaría",0.586,0.53,0.548,0.481
"P22","No sabe",0.134,0.2,0.277,0.374
"P23","Lo votaría",0.066,0.085,0.04,0.112
"P23","Puede que lo vote",0.072,0.046,0.077,0.08
"P23","Nunca lo votaría",0.731,0.745,0.659,0.508
"P23","No sabe",0.131,0.124,0.224,0.3
"P24","Si",0.417,0.583,0.363,0.202
"P24","No",0.583,0.417,0.637,0.798
