"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Si",0.402,0.461,0.346,0.315,0.442,0.419,0.41,0.409,0.388,0.42,0.498,0.402,0.32,0.372,0.382,0.41,0.41,0.394
"No",0.598,0.539,0.654,0.685,0.558,0.581,0.59,0.591,0.612,0.58,0.502,0.598,0.68,0.628,0.618,0.59,0.59,0.606
