"var","categoria","Javier Milei por la Libertad Avanza","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.217,0.243,0.226,0.239
"P04","Casi siempre",0.381,0.437,0.457,0.38
"P04","Casi nunca",0.32,0.25,0.262,0.293
"P04","Nunca, pero esta es una excepción",0.082,0.07,0.055,0.088
"P06","Del Frente de Todos y el peronismo",0.088,0.058,0.753,0.55
"P06","De Juntos por el cambio",0.183,0.633,0.067,0.131
"P06","De los Liberales libertarios",0.634,0.231,0.024,0.028
"P06","De la Izquierda",0.017,0.011,0.067,0.037
"P06","No sabe",0.078,0.067,0.089,0.254
"P07","A Sergio Massa",0.476,0.313,0.274,0.284
"P07","A Daniel Scioli",0.146,0.12,0.087,0.123
"P07","A algún candidato del peronismo",0.175,0.373,0.063,0.1
"P07","A algún candidato del kirchnerismo",0.203,0.194,0.576,0.493
"P08","A Sergio Massa",0.28,0.156,0.137,0.141
"P08","A Daniel Scioli",0.121,0.095,0.055,0.094
"P08","A algún candidato del peronismo",0.262,0.362,0.057,0.073
"P08","A Cristina Fernández de Kirchner",0.337,0.387,0.751,0.692
"P09","A Horacio Rodriguez Larreta",0.249,0.141,0.286,0.317
"P09","A Patricia Bullrich",0.621,0.76,0.285,0.376
"P09","A Facundo Manes",0.042,0.048,0.326,0.136
"P09","A Gerardo Morales",0.088,0.051,0.103,0.171
"P10","Sergio Massa por el Frente de Todos",0.067,0.035,0.627,0.441
"P10","Patricia Bullrich por Juntos por el Cambio",0.106,0.565,0.026,0.065
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.141,0.049,0.075
"P10","Javier Milei por la Libertad Avanza",0.683,0.206,0.021,0.036
"P10","Al candidato del Frente de Izquierda",0.01,0.007,0.085,0.035
"P10","En blanco",0.01,0.007,0.077,0.026
"P10","No sabe",0.023,0.039,0.115,0.322
"P11","Javier Milei por la Libertad Avanza",0.6,0.158,0.035,0.04
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.161,0.045,0.046
"P11","Patricia Bullrich por Juntos por el Cambio",0.107,0.492,0.039,0.068
"P11","Sergio Massa  por el Frente de Todos",0.105,0.07,0.593,0.428
"P11","Facundo Manes por Juntos por el Cambio",0.041,0.058,0.042,0.068
"P11","Gerardo Morales por Juntos por el Cambio",0.014,0.025,0.02,0.033
"P11","Al candidato del Frente de Izquierda",0.013,0.01,0.093,0.086
"P11","En blanco",0.002,0.004,0.062,0.02
"P11","No sabe",0.013,0.022,0.071,0.211
"P12","Agustín Rossi  por el Frente de Todos",0.075,0.049,0.545,0.335
"P12","Patricia Bullrich por Juntos por el Cambio",0.121,0.496,0.031,0.063
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.097,0.153,0.054,0.07
"P12","Facundo Manes por Juntos por el Cambio",0.023,0.041,0.036,0.056
"P12","Gerardo Morales",0.024,0.034,0.02,0.034
"P12","Javier Milei por la Libertad Avanza",0.624,0.189,0.038,0.044
