"var","categoria","Daniel Scioli  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Gerardo Morales","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.231,0.224,0.221,0.216,0.217,0.195,0.165,0.16,0.202
"P04","Casi siempre",0.411,0.414,0.386,0.44,0.384,0.321,0.366,0.321,0.34
"P04","Casi nunca",0.282,0.284,0.318,0.258,0.246,0.358,0.356,0.395,0.332
"P04","Nunca, pero esta es una excepción",0.076,0.078,0.075,0.086,0.153,0.126,0.113,0.124,0.126
"P06","Del Frente de Todos y el peronismo",0.701,0.145,0.131,0.171,0.094,0.056,0.292,0.383,0.381
"P06","De Juntos por el cambio",0.097,0.659,0.635,0.418,0.436,0.081,0.026,0.074,0.083
"P06","De los Liberales libertarios",0.132,0.118,0.103,0.179,0.228,0.764,0.051,0.057,0.042
"P06","De la Izquierda",0.013,0.008,0.018,0.035,0.044,0.017,0.521,0.042,0.032
"P06","No sabe",0.057,0.07,0.113,0.197,0.198,0.082,0.11,0.444,0.462
"P07","A Sergio Massa",0.274,0.248,0.617,0.459,0.339,0.298,0.284,0.299,0.317
"P07","A Daniel Scioli",0.134,0.107,0.144,0.022,0.076,0.096,0.055,0.073,0.017
"P07","A algún candidato del peronismo",0.09,0.388,0.113,0.141,0.245,0.383,0.075,0.105,0.167
"P07","A algún candidato del kirchnerismo",0.502,0.257,0.126,0.378,0.34,0.223,0.586,0.523,0.499
"P08","A Sergio Massa",0.154,0.153,0.225,0.239,0.355,0.189,0.158,0.11,0.134
"P08","A Daniel Scioli",0.084,0.102,0.148,0.015,0.103,0.06,0.051,0.078,0.026
"P08","A algún candidato del peronismo",0.058,0.385,0.169,0.108,0.19,0.355,0.068,0.14,0.152
"P08","A Cristina Fernández de Kirchner",0.704,0.36,0.458,0.638,0.352,0.396,0.723,0.672,0.688
"P09","A Horacio Rodriguez Larreta",0.135,0.041,0.634,0.118,0.05,0.186,0.198,0.263,0.244
"P09","A Patricia Bullrich",0.624,0.932,0.303,0.22,0.238,0.586,0.569,0.28,0.573
"P09","A Facundo Manes",0.196,0.011,0.042,0.625,0.031,0.057,0.151,0.214,0.059
"P09","A Gerardo Morales",0.045,0.016,0.021,0.037,0.681,0.171,0.082,0.243,0.124
"P10","Sergio Massa por el Frente de Todos",0.651,0.112,0.095,0.157,0.066,0.032,0.141,0.2,0.19
"P10","Patricia Bullrich por Juntos por el Cambio",0.054,0.713,0.174,0.351,0.162,0.053,0.009,0.025,0.049
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.042,0.578,0.158,0.226,0.022,0.015,0.016,0.032
"P10","Javier Milei por la Libertad Avanza",0.156,0.085,0.089,0.145,0.259,0.864,0.039,0.064,0.058
"P10","Al candidato del Frente de Izquierda",0.016,0.007,0.006,0.027,0.03,0.004,0.654,0.031,0.014
"P10","En blanco",0.026,0.01,0.011,0.034,0.068,0.008,0.022,0.466,0.047
"P10","No sabe",0.07,0.031,0.047,0.128,0.189,0.017,0.12,0.198,0.61
"P11","Javier Milei por la Libertad Avanza",0.149,0.056,0.092,0.12,0.156,0.762,0.043,0.1,0.048
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.084,0.608,0.097,0.074,0.027,0.025,0.03,0.022
"P11","Patricia Bullrich por Juntos por el Cambio",0.065,0.645,0.134,0.29,0.082,0.075,0.016,0.044,0.045
"P11","Sergio Massa  por el Frente de Todos",0.626,0.144,0.093,0.141,0.109,0.089,0.138,0.158,0.173
"P11","Facundo Manes por Juntos por el Cambio",0.025,0.036,0.023,0.275,0.186,0.017,0.121,0.02,0.022
"P11","Gerardo Morales por Juntos por el Cambio",0.008,0.008,0.013,0.015,0.308,0.009,0.017,0.071,0.012
"P11","Al candidato del Frente de Izquierda",0.021,0.006,0.015,0.033,0.057,0.007,0.598,0.053,0.102
"P11","En blanco",0.02,0.003,0.004,0.005,0.019,0.004,0.017,0.413,0.044
"P11","No sabe",0.056,0.018,0.018,0.024,0.009,0.01,0.025,0.111,0.532
"P12","Agustín Rossi  por el Frente de Todos",0.539,0.136,0.109,0.16,0.025,0.044,0.145,0.113,0.078
"P12","Patricia Bullrich por Juntos por el Cambio",0.076,0.665,0.151,0.233,0.03,0.088,0.011,0.014,0.023
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.064,0.566,0.094,0.038,0.057,0.004,0.015,0.017
"P12","Facundo Manes por Juntos por el Cambio",0.015,0.014,0.031,0.329,0.142,0.008,0.025,0.01,0.007
"P12","Gerardo Morales",0.008,0.004,0.012,0.036,0.485,0.019,0.011,0.016,0.005
"P12","Javier Milei por la Libertad Avanza",0.172,0.095,0.114,0.114,0.228,0.761,0.015,0.035,0.034
"P12","Al candidato del Frente de Izquierda",0.019,0.003,0.003,0.001,0.018,0.004,0.722,0.023,0.006
"P12","En blanco",0.029,0.004,0.002,0.011,0.018,0.007,0.046,0.665,0.033
"P12","No sabe",0.085,0.015,0.012,0.022,0.016,0.012,0.021,0.109,0.797
"P17","Axel Kicillof por el Frente de Todos",0.703,0.125,0.097,0.164,0.07,0.028,0.29,0.282,0.263
"P17","Patricia Bullrich por Juntos por el Cambio",0.057,0.739,0.154,0.345,0.144,0.049,0.008,0.025,0.032
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.034,0.614,0.139,0.195,0.014,0.025,0.012,0.03
"P17","Javier Milei por la Libertad Avanza",0.133,0.072,0.104,0.155,0.204,0.866,0.025,0.03,0.056
"P17","Al candidato del Frente de Izquierda",0.014,0.005,0.005,0.039,0.05,0.006,0.491,0.015,0.006
"P17","En blanco",0.016,0.007,0.006,0.049,0.149,0.021,0.027,0.498,0.028
"P17","No sabe",0.052,0.018,0.02,0.109,0.188,0.016,0.134,0.138,0.585
"P18","Sergio Massa  por el Frente de Todos",0.685,0.129,0.136,0.207,0.109,0.044,0.186,0.214,0.252
"P18","Patricia Bullrich por Juntos por el Cambio",0.063,0.732,0.474,0.388,0.292,0.075,0.012,0.048,0.057
"P18","Javier Milei por la Libertad Avanza",0.153,0.095,0.158,0.179,0.267,0.851,0.039,0.053,0.06
"P18","Al candidato del Frente de Izquierda",0.017,0.011,0.029,0.034,0.031,0.004,0.657,0.03,0.011
"P18","En blanco",0.027,0.012,0.057,0.037,0.091,0.006,0.031,0.512,0.046
"P18","No sabe",0.055,0.021,0.146,0.155,0.21,0.02,0.075,0.143,0.574
"P21","Daniel Scioli  por el Frente de Todos",0.69,0.143,0.12,0.184,0.147,0.09,0.074,0.162,0.162
"P21","Patricia Bullrich por Juntos por el Cambio",0.101,0.682,0.459,0.39,0.3,0.1,0.042,0.044,0.079
"P21","Javier Milei por la Libertad Avanza",0.147,0.134,0.193,0.168,0.186,0.776,0.051,0.054,0.059
"P21","Al candidato del Frente de Izquierda",0.013,0.011,0.031,0.035,0.045,0.007,0.722,0.026,0.004
"P21","En blanco",0.012,0.011,0.077,0.06,0.095,0.006,0.037,0.58,0.056
"P21","No sabe",0.037,0.019,0.12,0.163,0.227,0.021,0.074,0.134,0.64
"P22","Sergio Massa  por el Frente de Todos",0.659,0.157,0.132,0.208,0.113,0.05,0.148,0.204,0.238
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.359,0.634,0.289,0.316,0.059,0.023,0.013,0.046
"P22","Javier Milei por la Libertad Avanza",0.166,0.244,0.142,0.222,0.26,0.853,0.035,0.062,0.077
"P22","Al candidato del Frente de Izquierda",0.017,0.011,0.009,0.026,0.044,0.006,0.691,0.027,0.011
"P22","En blanco",0.026,0.081,0.029,0.096,0.077,0.009,0.041,0.571,0.051
"P22","No sabe",0.058,0.148,0.054,0.159,0.19,0.023,0.062,0.123,0.577
"P25","Agustín Rossi  por el Frente de Todos",0.631,0.127,0.127,0.159,0.139,0.06,0.203,0.176,0.192
"P25","Patricia Bullrich por Juntos por el Cambio",0.089,0.72,0.495,0.383,0.363,0.101,0.027,0.05,0.064
"P25","Javier Milei por la Libertad Avanza",0.16,0.085,0.161,0.162,0.194,0.804,0.019,0.043,0.071
"P25","Al candidato del Frente de Izquierda",0.016,0.008,0.023,0.038,0.031,0.004,0.659,0.038,0.01
"P25","En blanco",0.03,0.018,0.076,0.096,0.09,0.011,0.027,0.588,0.067
"P25","No sabe",0.074,0.042,0.118,0.162,0.183,0.02,0.065,0.105,0.596
"P26","Axel Kicillof por el Frente de Todos",0.654,0.145,0.153,0.193,0.087,0.052,0.352,0.319,0.31
"P26","Patricia Bullrich por Juntos por el Cambio",0.099,0.712,0.499,0.399,0.373,0.091,0.045,0.048,0.053
"P26","Javier Milei por la Libertad Avanza",0.157,0.107,0.146,0.188,0.214,0.821,0.023,0.04,0.05
"P26","Al candidato del Frente de Izquierda",0.013,0.006,0.028,0.024,0.046,0.006,0.511,0.036,0.008
"P26","En blanco",0.027,0.008,0.067,0.069,0.091,0.011,0.012,0.497,0.053
"P26","No sabe",0.05,0.022,0.107,0.127,0.189,0.019,0.057,0.06,0.526
"P29","Sergio Massa por el Frente de Todos",0.719,0.135,0.152,0.227,0.165,0.059,0.369,0.302,0.37
"P29","Patricia Bullrich por Juntos por el Cambio",0.138,0.823,0.649,0.567,0.481,0.513,0.043,0.069,0.12
"P29","En blanco",0.073,0.024,0.086,0.083,0.157,0.241,0.331,0.509,0.087
"P29","No sabe",0.07,0.018,0.113,0.123,0.197,0.187,0.257,0.12,0.423
"P30","Sergio Massa por el Frente de Todos",0.719,0.144,0.179,0.248,0.168,0.041,0.434,0.309,0.406
"P30","Javier Milei por la Libertad Avanza",0.177,0.521,0.428,0.419,0.341,0.878,0.076,0.091,0.097
"P30","En blanco",0.05,0.162,0.209,0.13,0.242,0.053,0.333,0.501,0.087
"P30","No sabe",0.054,0.173,0.184,0.203,0.249,0.028,0.157,0.099,0.41
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.205,0.425,0.685,0.399,0.427,0.058,0.144,0.101,0.14
"P31","Javier Milei por la Libertad Avanza",0.184,0.331,0.173,0.273,0.257,0.899,0.067,0.043,0.084
"P31","En blanco",0.424,0.136,0.085,0.153,0.168,0.021,0.628,0.725,0.249
"P31","No sabe",0.187,0.108,0.057,0.175,0.148,0.022,0.161,0.131,0.527
"P32","Javier Milei por la Libertad Avanza",0.156,0.116,0.234,0.167,0.232,0.751,0.078,0.069,0.076
"P32","Patricia Bullrich por Juntos por el Cambio",0.134,0.744,0.537,0.498,0.483,0.207,0.052,0.075,0.112
"P32","En blanco",0.541,0.093,0.135,0.178,0.16,0.028,0.694,0.773,0.317
"P32","No sabe",0.169,0.047,0.094,0.157,0.125,0.014,0.176,0.083,0.495
"P33","Sergio Massa por el Frente de Todos",0.691,0.152,0.118,0.209,0.175,0.129,0.379,0.297,0.399
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.098,0.616,0.745,0.474,0.497,0.293,0.07,0.081,0.085
"P33","En blanco",0.146,0.133,0.075,0.164,0.143,0.397,0.405,0.562,0.103
"P33","No sabe",0.065,0.099,0.062,0.153,0.185,0.181,0.146,0.06,0.413
"P34","Agustín Rossi por el Frente de Todos",0.693,0.123,0.129,0.218,0.108,0.051,0.451,0.256,0.321
"P34","Patricia Bullrich por Juntos por el Cambio",0.127,0.8,0.671,0.533,0.548,0.555,0.04,0.083,0.123
"P34","En blanco",0.106,0.038,0.107,0.114,0.165,0.252,0.386,0.559,0.122
"P34","No sabe",0.074,0.039,0.093,0.135,0.179,0.142,0.123,0.102,0.434
"P35","Daniel Scioli por el Frente de Todos",0.758,0.132,0.123,0.217,0.103,0.058,0.442,0.286,0.32
"P35","Patricia Bullrich por Juntos por el Cambio",0.144,0.83,0.701,0.588,0.592,0.603,0.069,0.093,0.132
"P35","En blanco",0.065,0.023,0.094,0.094,0.142,0.222,0.387,0.5,0.145
"P35","No sabe",0.033,0.015,0.082,0.101,0.163,0.117,0.102,0.121,0.403
"P36","Lo votaría",0.522,0.126,0.2,0.273,0.123,0.082,0.137,0.236,0.23
"P36","Puede que lo vote",0.251,0.156,0.155,0.198,0.164,0.092,0.288,0.173,0.199
"P36","Nunca lo votaría",0.177,0.679,0.587,0.458,0.637,0.77,0.407,0.477,0.28
"P36","No sabe",0.05,0.039,0.058,0.071,0.076,0.056,0.168,0.114,0.291
"P37","Lo votaría",0.125,0.717,0.444,0.386,0.262,0.217,0.048,0.109,0.095
"P37","Puede que lo vote",0.088,0.085,0.262,0.216,0.316,0.408,0.027,0.068,0.121
"P37","Nunca lo votaría",0.758,0.179,0.256,0.33,0.34,0.306,0.877,0.734,0.612
"P37","No sabe",0.029,0.019,0.038,0.068,0.082,0.069,0.048,0.089,0.172
"P38","Lo votaría",0.155,0.197,0.207,0.241,0.177,0.817,0.022,0.048,0.058
"P38","Puede que lo vote",0.067,0.372,0.28,0.235,0.188,0.099,0.066,0.088,0.087
"P38","Nunca lo votaría",0.748,0.367,0.457,0.466,0.543,0.067,0.891,0.797,0.706
"P38","No sabe",0.03,0.064,0.056,0.058,0.092,0.017,0.021,0.067,0.149
"P39","Lo votaría",0.073,0.259,0.628,0.23,0.311,0.134,0.022,0.012,0.037
"P39","Puede que lo vote",0.105,0.38,0.137,0.316,0.314,0.24,0.096,0.092,0.146
"P39","Nunca lo votaría",0.77,0.314,0.206,0.402,0.31,0.563,0.83,0.798,0.632
"P39","No sabe",0.052,0.047,0.029,0.052,0.065,0.063,0.052,0.098,0.185
"P40","Lo votaría",0.503,0.108,0.143,0.13,0.054,0.038,0.116,0.108,0.107
"P40","Puede que lo vote",0.236,0.104,0.098,0.172,0.218,0.069,0.237,0.179,0.234
"P40","Nunca lo votaría",0.239,0.758,0.719,0.649,0.649,0.849,0.522,0.599,0.424
"P40","No sabe",0.022,0.03,0.04,0.049,0.079,0.044,0.125,0.114,0.235
"P41","Lo votaría",0.462,0.086,0.074,0.126,0.036,0.028,0.174,0.116,0.139
"P41","Puede que lo vote",0.241,0.076,0.075,0.119,0.082,0.036,0.29,0.202,0.23
"P41","Nunca lo votaría",0.247,0.807,0.808,0.691,0.826,0.872,0.445,0.595,0.388
"P41","No sabe",0.05,0.031,0.043,0.064,0.056,0.064,0.091,0.087,0.243
"P42","Lo votaría",0.095,0.079,0.124,0.398,0.225,0.065,0.066,0.032,0.038
"P42","Puede que lo vote",0.211,0.312,0.292,0.188,0.233,0.183,0.199,0.172,0.19
"P42","Nunca lo votaría",0.59,0.531,0.5,0.357,0.48,0.652,0.653,0.696,0.494
"P42","No sabe",0.104,0.078,0.084,0.057,0.062,0.1,0.082,0.1,0.278
"P43","Lo votaría",0.608,0.121,0.086,0.208,0.056,0.039,0.394,0.332,0.353
"P43","Puede que lo vote",0.116,0.058,0.071,0.09,0.102,0.037,0.16,0.125,0.142
"P43","Nunca lo votaría",0.242,0.803,0.812,0.671,0.824,0.877,0.383,0.458,0.341
"P43","No sabe",0.034,0.018,0.031,0.031,0.018,0.047,0.063,0.085,0.164
"P44","Si",0.629,0.59,0.572,0.594,0.47,0.565,0.561,0.521,0.543
"P44","No",0.371,0.41,0.428,0.406,0.53,0.435,0.439,0.479,0.457
