"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P12","Javier Milei por la Libertad Avanza",0.074,0.272,0.488,0.391
"P12","Al candidato del Frente de Izquierda",0.04,0.003,0.067,0.056
"P12","En blanco",0.03,0.005,0.123,0.021
"P12","No sabe",0.115,0.02,0.048,0.245
"P16","Daniel Scioli  por el Frente de Todos",0.559,0.066,0.128,0.12
"P16","Patricia Bullrich por Juntos por el Cambio",0.109,0.404,0.043,0.032
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.146,0.071,0.092
"P16","Facundo Manes por Juntos por el Cambio",0.048,0.073,0.04,0.058
"P16","Gerardo Morales",0.021,0.037,0.045,0.055
"P16","Javier Milei por la Libertad Avanza",0.047,0.249,0.431,0.328
"P16","Al candidato del Frente de Izquierda",0.04,0.003,0.08,0.061
"P16","En blanco",0.03,0.004,0.114,0.026
"P16","No sabe",0.09,0.018,0.048,0.228
"P17","Axel Kicillof por el Frente de Todos",0.789,0.013,0.121,0.121
"P17","Patricia Bullrich por Juntos por el Cambio",0.012,0.505,0.019,0.026
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.145,0.081,0.093
"P17","Javier Milei por la Libertad Avanza",0.046,0.298,0.535,0.419
"P17","Al candidato del Frente de Izquierda",0.024,0.005,0.061,0.052
"P17","En blanco",0.02,0.012,0.121,0.026
"P17","No sabe",0.068,0.022,0.062,0.263
"P18","Sergio Massa  por el Frente de Todos",0.828,0.017,0.045,0.051
"P18","Patricia Bullrich por Juntos por el Cambio",0.021,0.614,0.038,0.031
"P18","Javier Milei por la Libertad Avanza",0.047,0.321,0.546,0.438
"P18","Al candidato del Frente de Izquierda",0.037,0.006,0.094,0.068
"P18","En blanco",0.014,0.01,0.202,0.027
"P18","No sabe",0.053,0.032,0.075,0.385
"P21","Daniel Scioli  por el Frente de Todos",0.662,0.084,0.12,0.115
"P21","Patricia Bullrich por Juntos por el Cambio",0.092,0.56,0.065,0.055
"P21","Javier Milei por la Libertad Avanza",0.092,0.311,0.474,0.385
"P21","Al candidato del Frente de Izquierda",0.044,0.005,0.094,0.065
"P21","En blanco",0.027,0.011,0.182,0.032
"P21","No sabe",0.083,0.029,0.065,0.348
"P22","Sergio Massa  por el Frente de Todos",0.785,0.042,0.046,0.055
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.38,0.099,0.107
"P22","Javier Milei por la Libertad Avanza",0.067,0.412,0.528,0.421
"P22","Al candidato del Frente de Izquierda",0.036,0.009,0.087,0.059
"P22","En blanco",0.013,0.056,0.176,0.027
"P22","No sabe",0.048,0.101,0.064,0.331
"P25","Agustín Rossi  por el Frente de Todos",0.68,0.053,0.085,0.104
"P25","Patricia Bullrich por Juntos por el Cambio",0.044,0.596,0.068,0.066
"P25","Javier Milei por la Libertad Avanza",0.091,0.286,0.51,0.397
"P25","Al candidato del Frente de Izquierda",0.04,0.006,0.086,0.06
"P25","En blanco",0.047,0.017,0.193,0.029
"P25","No sabe",0.098,0.042,0.058,0.344
"P26","Axel Kicillof por el Frente de Todos",0.759,0.046,0.123,0.131
"P26","Patricia Bullrich por Juntos por el Cambio",0.051,0.595,0.059,0.052
"P26","Javier Milei por la Libertad Avanza",0.069,0.315,0.504,0.401
"P26","Al candidato del Frente de Izquierda",0.023,0.006,0.088,0.062
"P26","En blanco",0.035,0.013,0.177,0.026
"P26","No sabe",0.063,0.025,0.049,0.328
"P30","Sergio Massa por el Frente de Todos",0.946,0.021,0.043,0.043
"P30","Javier Milei por la Libertad Avanza",0.037,0.721,0.454,0.371
"P30","En blanco",0.007,0.13,0.472,0.056
"P30","No sabe",0.01,0.128,0.031,0.53
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.251,0.392,0.111,0.117
"P31","Javier Milei por la Libertad Avanza",0.074,0.488,0.555,0.431
"P31","En blanco",0.472,0.059,0.3,0.083
"P31","No sabe",0.203,0.061,0.034,0.369
"P32","Javier Milei por la Libertad Avanza",0.115,0.308,0.476,0.379
"P32","Patricia Bullrich por Juntos por el Cambio",0.064,0.657,0.133,0.149
"P32","En blanco",0.621,0.016,0.355,0.11
"P32","No sabe",0.2,0.019,0.036,0.362
"P33","Sergio Massa por el Frente de Todos",0.849,0.055,0.107,0.113
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.037,0.667,0.158,0.16
