"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodriguez Larreta por el Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.253,0.225,0.216,0.228
"P04","Casi siempre",0.422,0.456,0.394,0.357
"P04","Casi nunca",0.264,0.254,0.308,0.313
"P04","Nunca, pero esta es una excepción",0.061,0.065,0.082,0.102
"P06","Del Frente de Todos y el peronismo",0.73,0.042,0.177,0.194
"P06","De Juntos por el cambio",0.067,0.648,0.144,0.2
"P06","De los Liberales libertarios",0.117,0.235,0.498,0.351
"P06","De la Izquierda",0.022,0.013,0.063,0.036
"P06","No sabe",0.064,0.062,0.118,0.219
"P07","A Sergio Massa",0.315,0.111,0.341,0.222
"P07","A Daniel Scioli",0.099,0.181,0.094,0.108
"P07","A algún candidato del peronismo",0.069,0.545,0.095,0.135
"P07","A algún candidato del kirchnerismo",0.517,0.163,0.47,0.535
"P08","A Sergio Massa",0.179,0.152,0.112,0.038
"P08","A Daniel Scioli",0.063,0.13,0.082,0.087
"P08","A algún candidato del peronismo",0.066,0.518,0.096,0.141
"P08","A Cristina Fernández de Kirchner",0.692,0.2,0.71,0.734
"P09","A Horacio Rodriguez Larreta",0.143,0.203,0.082,0.031
"P09","A Patricia Bullrich",0.439,0.69,0.824,0.779
"P09","A Facundo Manes",0.269,0.049,0.085,0.049
"P09","A Gerardo Morales",0.149,0.058,0.009,0.141
"P10","Sergio Massa por el Frente de Todos",0.684,0.009,0.096,0.08
"P10","Patricia Bullrich por Juntos por el Cambio",0.033,0.491,0.163,0.187
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.237,0.018,0.031
"P10","Javier Milei por la Libertad Avanza",0.129,0.216,0.52,0.383
"P10","Al candidato del Frente de Izquierda",0.034,0.009,0.063,0.027
"P10","En blanco",0.017,0.007,0.077,0.022
"P10","No sabe",0.083,0.031,0.063,0.27
"P11","Javier Milei por la Libertad Avanza",0.114,0.179,0.453,0.344
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.244,0.029,0.028
"P11","Patricia Bullrich por Juntos por el Cambio",0.057,0.415,0.17,0.169
"P11","Sergio Massa  por el Frente de Todos",0.664,0.031,0.14,0.095
"P11","Facundo Manes por Juntos por el Cambio",0.031,0.068,0.033,0.07
"P11","Gerardo Morales por Juntos por el Cambio",0.01,0.03,0.021,0.025
"P11","Al candidato del Frente de Izquierda",0.044,0.014,0.059,0.071
"P11","En blanco",0.011,0.005,0.058,0.017
"P11","No sabe",0.053,0.014,0.037,0.181
"P12","Agustín Rossi  por el Frente de Todos",0.546,0.037,0.118,0.087
"P12","Patricia Bullrich por Juntos por el Cambio",0.046,0.431,0.163,0.18
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.214,0.042,0.035
"P12","Facundo Manes por Juntos por el Cambio",0.035,0.046,0.016,0.046
"P12","Gerardo Morales",0.015,0.041,0.023,0.029
"P12","Javier Milei por la Libertad Avanza",0.143,0.2,0.462,0.351
"P12","Al candidato del Frente de Izquierda",0.039,0.005,0.057,0.028
"P12","En blanco",0.027,0.009,0.077,0.015
"P12","No sabe",0.11,0.017,0.042,0.229
"P16","Daniel Scioli  por el Frente de Todos",0.515,0.059,0.151,0.106
"P16","Patricia Bullrich por Juntos por el Cambio",0.12,0.391,0.145,0.171
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.212,0.037,0.047
"P16","Facundo Manes por Juntos por el Cambio",0.042,0.077,0.046,0.068
"P16","Gerardo Morales",0.022,0.05,0.025,0.05
"P16","Javier Milei por la Libertad Avanza",0.1,0.183,0.429,0.307
"P16","Al candidato del Frente de Izquierda",0.039,0.006,0.059,0.033
"P16","En blanco",0.029,0.006,0.075,0.013
"P16","No sabe",0.091,0.016,0.033,0.205
"P17","Axel Kicillof por el Frente de Todos",0.711,0.015,0.141,0.127
"P17","Patricia Bullrich por Juntos por el Cambio",0.035,0.482,0.151,0.196
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.241,0.021,0.022
"P17","Javier Milei por la Libertad Avanza",0.121,0.213,0.52,0.38
"P17","Al candidato del Frente de Izquierda",0.023,0.009,0.048,0.018
"P17","En blanco",0.021,0.018,0.072,0.019
"P17","No sabe",0.065,0.022,0.047,0.238
"P18","Sergio Massa  por el Frente de Todos",0.725,0.03,0.097,0.066
"P18","Patricia Bullrich por Juntos por el Cambio",0.041,0.631,0.156,0.198
"P18","Javier Milei por la Libertad Avanza",0.128,0.239,0.538,0.388
"P18","Al candidato del Frente de Izquierda",0.039,0.012,0.062,0.038
"P18","En blanco",0.013,0.026,0.102,0.02
"P18","No sabe",0.054,0.062,0.045,0.29
"P21","Daniel Scioli  por el Frente de Todos",0.614,0.082,0.138,0.12
"P21","Patricia Bullrich por Juntos por el Cambio",0.102,0.569,0.198,0.181
"P21","Javier Milei por la Libertad Avanza",0.136,0.255,0.464,0.378
"P21","Al candidato del Frente de Izquierda",0.045,0.011,0.059,0.04
"P21","En blanco",0.024,0.029,0.098,0.015
"P21","No sabe",0.079,0.054,0.043,0.266
"P22","Sergio Massa  por el Frente de Todos",0.699,0.045,0.107,0.078
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.508,0.046,0.042
"P22","Javier Milei por la Libertad Avanza",0.141,0.321,0.563,0.432
"P22","Al candidato del Frente de Izquierda",0.039,0.013,0.063,0.032
"P22","En blanco",0.015,0.035,0.154,0.035
"P22","No sabe",0.052,0.078,0.067,0.381
"P25","Agustín Rossi  por el Frente de Todos",0.618,0.059,0.124,0.089
"P25","Patricia Bullrich por Juntos por el Cambio",0.075,0.605,0.179,0.207
"P25","Javier Milei por la Libertad Avanza",0.138,0.228,0.485,0.368
"P25","Al candidato del Frente de Izquierda",0.038,0.014,0.062,0.027
"P25","En blanco",0.038,0.032,0.111,0.027
"P25","No sabe",0.093,0.062,0.039,0.282
"P26","Axel Kicillof por el Frente de Todos",0.693,0.052,0.148,0.12
"P26","Patricia Bullrich por Juntos por el Cambio",0.067,0.612,0.173,0.197
"P26","Javier Milei por la Libertad Avanza",0.13,0.246,0.498,0.385
"P26","Al candidato del Frente de Izquierda",0.025,0.011,0.061,0.029
"P26","En blanco",0.028,0.029,0.097,0.013
"P26","No sabe",0.057,0.05,0.023,0.256
"P29","Sergio Massa por el Frente de Todos",0.818,0.029,0.104,0.077
"P29","Patricia Bullrich por Juntos por el Cambio",0.088,0.862,0.4,0.344
"P29","En blanco",0.046,0.054,0.396,0.065
"P29","No sabe",0.048,0.055,0.1,0.514
"P30","Sergio Massa por el Frente de Todos",0.815,0.046,0.103,0.08
"P30","Javier Milei por la Libertad Avanza",0.13,0.643,0.576,0.446
"P30","En blanco",0.025,0.162,0.268,0.049
"P30","No sabe",0.03,0.149,0.053,0.425
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.208,0.559,0.047,0.073
"P31","Javier Milei por la Libertad Avanza",0.163,0.373,0.618,0.446
"P31","En blanco",0.44,0.034,0.302,0.036
"P31","No sabe",0.189,0.034,0.033,0.445
"P32","Javier Milei por la Libertad Avanza",0.193,0.279,0.399,0.313
"P32","Patricia Bullrich por Juntos por el Cambio",0.079,0.662,0.286,0.274
"P32","En blanco",0.552,0.032,0.301,0.04
"P32","No sabe",0.176,0.027,0.014,0.373
"P34","Agustín Rossi por el Frente de Todos",0.758,0.014,0.119,0.089
"P34","Patricia Bullrich por Juntos por el Cambio",0.092,0.914,0.351,0.279
"P34","En blanco",0.083,0.042,0.497,0.029
"P34","No sabe",0.067,0.03,0.033,0.603
"P35","Daniel Scioli por el Frente de Todos",0.761,0.031,0.145,0.128
"P35","Patricia Bullrich por Juntos por el Cambio",0.11,0.899,0.441,0.374
"P35","En blanco",0.08,0.04,0.384,0.048
"P35","No sabe",0.049,0.03,0.03,0.45
"P36","Lo votaría",0.5,0.128,0.119,0.088
"P36","Puede que lo vote",0.319,0.119,0.102,0.106
"P36","Nunca lo votaría",0.119,0.718,0.73,0.562
"P36","No sabe",0.062,0.035,0.049,0.244
"P37","Lo votaría",0.103,0.59,0.24,0.27
"P37","Puede que lo vote",0.097,0.235,0.249,0.203
"P37","Nunca lo votaría",0.758,0.15,0.466,0.361
"P37","No sabe",0.042,0.025,0.045,0.166
"P38","Lo votaría",0.125,0.325,0.495,0.403
"P38","Puede que lo vote",0.06,0.336,0.129,0.118
"P38","Nunca lo votaría",0.782,0.291,0.347,0.348
"P38","No sabe",0.033,0.048,0.029,0.131
"P39","Lo votaría",0.065,0.435,0.063,0.063
"P39","Puede que lo vote",0.106,0.406,0.104,0.179
"P39","Nunca lo votaría",0.777,0.126,0.782,0.574
"P39","No sabe",0.052,0.033,0.051,0.184
"P40","Lo votaría",0.409,0.096,0.089,0.058
"P40","Puede que lo vote",0.252,0.102,0.093,0.127
"P40","Nunca lo votaría",0.294,0.77,0.777,0.655
"P40","No sabe",0.045,0.032,0.041,0.16
"P41","Lo votaría",0.432,0.026,0.086,0.057
"P41","Puede que lo vote",0.278,0.036,0.085,0.098
"P41","Nunca lo votaría",0.227,0.902,0.778,0.679
"P41","No sabe",0.063,0.036,0.051,0.166
"P42","Lo votaría",0.115,0.127,0.063,0.08
"P42","Puede que lo vote",0.236,0.307,0.142,0.167
"P42","Nunca lo votaría",0.547,0.488,0.714,0.555
"P42","No sabe",0.102,0.078,0.081,0.198
"P43","Lo votaría",0.624,0.039,0.127,0.107
"P43","Puede que lo vote",0.13,0.055,0.062,0.075
"P43","Nunca lo votaría",0.209,0.879,0.777,0.698
"P43","No sabe",0.037,0.027,0.034,0.12
"P44","Si",0.636,0.584,0.562,0.475
"P44","No",0.364,0.416,0.438,0.525
