"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Siempre",0.255,0.308,0.204,0.215
"P04","Casi siempre",0.353,0.372,0.373,0.408
"P04","Casi nunca",0.293,0.25,0.312,0.282
"P04","Nunca, pero esta es una excepción",0.099,0.07,0.111,0.095
"P08","A Sergio Massa",0.489,0.081,0.083,0.019
"P08","A Daniel Scioli",0.031,0.548,0.053,0.006
"P08","A algún candidato del peronismo",0.051,0.038,0.577,0.024
"P08","A Cristina Fernández de Kirchner",0.429,0.333,0.287,0.951
"P10","Sergio Massa por el Frente de Todos",0.757,0.652,0.289,0.708
"P10","Patricia Bullrich por Juntos por el Cambio",0.008,0.039,0.182,0.01
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.037,0.06,0.004
"P10","Javier Milei por la Libertad Avanza",0.078,0.069,0.118,0.026
"P10","Al candidato del Frente de Izquierda",0.012,0.013,0.026,0.027
"P10","En blanco",0.042,0.091,0.047,0.032
"P10","No sabe",0.081,0.099,0.278,0.193
"P11","Javier Milei por la Libertad Avanza",0.078,0.061,0.099,0.048
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.034,0.104,0.011
"P11","Patricia Bullrich por Juntos por el Cambio",0.102,0.107,0.137,0.037
"P11","Sergio Massa  por el Frente de Todos",0.654,0.56,0.336,0.639
"P11","Facundo Manes por Juntos por el Cambio",0.024,0.021,0.046,0.014
"P11","Gerardo Morales por Juntos por el Cambio",0.004,0.001,0.005,0.008
"P11","Al candidato del Frente de Izquierda",0.045,0.025,0.039,0.045
"P11","En blanco",0.034,0.073,0.037,0.044
"P11","No sabe",0.031,0.118,0.197,0.154
"P12","Agustín Rossi  por el Frente de Todos",0.512,0.53,0.231,0.662
"P12","Patricia Bullrich por Juntos por el Cambio",0.034,0.061,0.185,0.018
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.091,0.117,0.046,0.014
"P12","Facundo Manes por Juntos por el Cambio",0.023,0.007,0.035,0.011
"P12","Gerardo Morales",0.007,0.003,0.02,0.003
"P12","Javier Milei por la Libertad Avanza",0.068,0.037,0.106,0.023
"P12","Al candidato del Frente de Izquierda",0.017,0.042,0.042,0.035
"P12","En blanco",0.071,0.055,0.071,0.045
"P12","No sabe",0.177,0.148,0.264,0.189
"P16","Daniel Scioli  por el Frente de Todos",0.559,0.776,0.404,0.654
"P16","Patricia Bullrich por Juntos por el Cambio",0.043,0.052,0.148,0.028
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.042,0.026,0.008
"P16","Facundo Manes por Juntos por el Cambio",0.028,0.004,0.019,0.015
"P16","Gerardo Morales",0.011,0.007,0.018,0.007
"P16","Javier Milei por la Libertad Avanza",0.047,0.043,0.133,0.022
"P16","Al candidato del Frente de Izquierda",0.031,0.017,0.018,0.041
"P16","En blanco",0.05,0.034,0.038,0.056
"P16","No sabe",0.168,0.025,0.196,0.169
"P17","Axel Kicillof por el Frente de Todos",0.731,0.664,0.365,0.848
