"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P04","Siempre",0.245,0.216,0.241,0.251
"P04","Casi siempre",0.443,0.404,0.415,0.411
"P04","Casi nunca",0.258,0.301,0.26,0.255
"P04","Nunca, pero esta es una excepción",0.054,0.079,0.084,0.083
"P06","Del Frente de Todos y el peronismo",0.8,0.04,0.156,0.178
"P06","De Juntos por el cambio",0.078,0.361,0.485,0.475
"P06","De los Liberales libertarios",0.022,0.527,0.118,0.09
"P06","De la Izquierda",0.03,0.011,0.082,0.037
"P06","No sabe",0.07,0.061,0.159,0.22
"P07","A Sergio Massa",0.321,0.214,0.405,0.159
"P07","A Daniel Scioli",0.098,0.17,0.052,0.094
"P07","A algún candidato del peronismo",0.055,0.453,0.139,0.215
"P07","A algún candidato del kirchnerismo",0.526,0.163,0.404,0.532
"P08","A Sergio Massa",0.168,0.141,0.113,0.039
"P08","A Daniel Scioli",0.066,0.109,0.08,0.084
"P08","A algún candidato del peronismo",0.053,0.518,0.128,0.185
"P08","A Cristina Fernández de Kirchner",0.713,0.232,0.679,0.692
"P09","A Horacio Rodriguez Larreta",0.254,0.138,0.22,0.183
"P09","A Patricia Bullrich",0.21,0.792,0.633,0.702
"P09","A Facundo Manes",0.372,0.026,0.073,0.05
"P09","A Gerardo Morales",0.164,0.044,0.074,0.065
"P10","Sergio Massa por el Frente de Todos",0.757,0.01,0.043,0.051
"P10","Patricia Bullrich por Juntos por el Cambio",0.021,0.335,0.336,0.348
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.093,0.185,0.151
"P10","Javier Milei por la Libertad Avanza",0.03,0.53,0.13,0.097
"P10","Al candidato del Frente de Izquierda",0.039,0.006,0.085,0.032
"P10","En blanco",0.018,0.007,0.122,0.027
"P10","No sabe",0.086,0.019,0.099,0.294
"P11","Javier Milei por la Libertad Avanza",0.04,0.462,0.093,0.066
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.111,0.18,0.151
"P11","Patricia Bullrich por Juntos por el Cambio",0.05,0.3,0.284,0.29
"P11","Sergio Massa  por el Frente de Todos",0.712,0.044,0.087,0.087
"P11","Facundo Manes por Juntos por el Cambio",0.033,0.046,0.078,0.073
