"var","categoria","Agustín Rossi  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P16","Daniel Scioli  por el Frente de Todos",0.59,0.065,0.125,0.098,0.124,0.148
"P16","Patricia Bullrich por Juntos por el Cambio",0.121,0.54,0.068,0.051,0.074,0.086
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.172,0.059,0.067,0.147,0.112
"P16","Facundo Manes por Juntos por el Cambio",0.04,0.076,0.034,0.064,0.106,0.088
"P16","Gerardo Morales",0.021,0.044,0.025,0.032,0.06,0.059
"P16","Javier Milei por la Libertad Avanza",0.059,0.079,0.663,0.025,0.05,0.041
"P16","Al candidato del Frente de Izquierda",0.028,0.003,0.002,0.61,0.016,0.019
"P16","En blanco",0.022,0.005,0.004,0.032,0.326,0.029
"P16","No sabe",0.063,0.016,0.02,0.021,0.097,0.418
"P17","Axel Kicillof por el Frente de Todos",0.786,0.037,0.059,0.27,0.22,0.198
"P17","Patricia Bullrich por Juntos por el Cambio",0.045,0.66,0.055,0.03,0.077,0.076
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.169,0.042,0.077,0.199,0.147
"P17","Javier Milei por la Libertad Avanza",0.062,0.104,0.811,0.029,0.049,0.036
"P17","Al candidato del Frente de Izquierda",0.016,0.006,0.004,0.436,0.024,0.022
"P17","En blanco",0.012,0.009,0.016,0.053,0.34,0.027
"P17","No sabe",0.042,0.015,0.013,0.105,0.091,0.494
"P18","Sergio Massa  por el Frente de Todos",0.774,0.046,0.061,0.176,0.203,0.205
"P18","Patricia Bullrich por Juntos por el Cambio",0.064,0.793,0.064,0.032,0.119,0.105
"P18","Javier Milei por la Libertad Avanza",0.065,0.116,0.843,0.042,0.067,0.028
"P18","Al candidato del Frente de Izquierda",0.026,0.006,0.007,0.665,0.034,0.02
"P18","En blanco",0.021,0.011,0.005,0.044,0.491,0.028
"P18","No sabe",0.05,0.028,0.02,0.041,0.086,0.614
"P21","Daniel Scioli  por el Frente de Todos",0.697,0.08,0.119,0.14,0.189,0.174
"P21","Patricia Bullrich por Juntos por el Cambio",0.109,0.752,0.107,0.038,0.075,0.078
"P21","Javier Milei por la Libertad Avanza",0.093,0.137,0.742,0.054,0.081,0.058
"P21","Al candidato del Frente de Izquierda",0.024,0.004,0.008,0.695,0.047,0.018
"P21","En blanco",0.022,0.008,0.008,0.028,0.53,0.028
"P21","No sabe",0.055,0.019,0.016,0.045,0.078,0.644
"P22","Sergio Massa  por el Frente de Todos",0.741,0.068,0.077,0.153,0.184,0.188
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.072,0.487,0.083,0.062,0.188,0.132
"P22","Javier Milei por la Libertad Avanza",0.102,0.251,0.814,0.014,0.052,0.032
"P22","Al candidato del Frente de Izquierda",0.024,0.004,0.005,0.699,0.024,0.018
"P22","En blanco",0.021,0.07,0.008,0.039,0.493,0.025
"P22","No sabe",0.04,0.12,0.013,0.033,0.059,0.605
"P26","Axel Kicillof por el Frente de Todos",0.751,0.074,0.075,0.254,0.199,0.207
"P26","Patricia Bullrich por Juntos por el Cambio",0.09,0.78,0.094,0.067,0.074,0.093
"P26","Javier Milei por la Libertad Avanza",0.092,0.118,0.799,0.028,0.041,0.038
"P26","Al candidato del Frente de Izquierda",0.011,0.004,0.009,0.61,0.011,0.019
"P26","En blanco",0.018,0.011,0.006,0.008,0.604,0.023
"P26","No sabe",0.038,0.013,0.017,0.033,0.071,0.62
"P29","Sergio Massa por el Frente de Todos",0.799,0.041,0.094,0.35,0.271,0.28
"P29","Patricia Bullrich por Juntos por el Cambio",0.101,0.903,0.486,0.09,0.157,0.199
"P29","En blanco",0.044,0.028,0.234,0.327,0.495,0.074
"P29","No sabe",0.056,0.028,0.186,0.233,0.077,0.447
"P30","Sergio Massa por el Frente de Todos",0.805,0.057,0.074,0.392,0.276,0.311
"P30","Javier Milei por la Libertad Avanza",0.096,0.575,0.832,0.113,0.118,0.132
"P30","En blanco",0.048,0.181,0.055,0.329,0.534,0.098
"P30","No sabe",0.051,0.187,0.039,0.166,0.072,0.459
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.232,0.513,0.079,0.25,0.286,0.267
"P31","Javier Milei por la Libertad Avanza",0.089,0.331,0.861,0.092,0.07,0.067
"P31","En blanco",0.479,0.075,0.035,0.516,0.564,0.168
"P31","No sabe",0.2,0.081,0.025,0.142,0.08,0.498
"P32","Javier Milei por la Libertad Avanza",0.121,0.143,0.695,0.125,0.097,0.109
"P32","Patricia Bullrich por Juntos por el Cambio",0.094,0.807,0.241,0.123,0.128,0.154
"P32","En blanco",0.608,0.025,0.039,0.641,0.685,0.218
"P32","No sabe",0.177,0.025,0.025,0.111,0.09,0.519
"P33","Sergio Massa por el Frente de Todos",0.752,0.071,0.147,0.338,0.224,0.283
