"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Muy positiva",0.19,0.197,0.184,0.16,0.199,0.23,0.15,0.177,0.184,0.21,0.164,0.162,0.185,0.226
"Positiva",0.167,0.159,0.174,0.17,0.155,0.191,0.159,0.181,0.17,0.151,0.143,0.206,0.084,0.182
"Indiferente",0.171,0.174,0.168,0.153,0.191,0.16,0.163,0.181,0.17,0.163,0.217,0.151,0.182,0.138
"Negativa",0.107,0.102,0.111,0.065,0.118,0.09,0.147,0.136,0.098,0.089,0.084,0.13,0.169,0.108
"Muy negativa",0.365,0.368,0.363,0.452,0.337,0.329,0.381,0.325,0.378,0.387,0.392,0.351,0.38,0.346
