"var","categoria",Muy positiva,Positiva,Indiferente,Negativa,Muy negativa
"P07","Siempre",0.305,0.232,0.262,0.258,0.315
"P07","Casi siempre",0.373,0.337,0.355,0.405,0.308
"P07","Casi nunca",0.216,0.325,0.259,0.288,0.256
"P07","Nunca, pero esta es una excepción",0.106,0.106,0.124,0.049,0.121
"P08","Muy buena",0.702,0.488,0.057,0.082,0.166
"P08","Buena",0.078,0.196,0.125,0.214,0.049
"P08","Ni buena ni mala",0.068,0.17,0.566,0.403,0.23
"P08","Mala",0.042,0.063,0.084,0.193,0.247
"P08","Muy mala",0.076,0.023,0.052,0.048,0.267
"P08","No sabe",0.034,0.06,0.116,0.06,0.041
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.908,0.879,0.351,0.286,0.161
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.097,0.346,0.539,0.77
"P11","En blanco",0.008,0.017,0.135,0.134,0.051
"P11","No sabe",0.019,0.007,0.168,0.041,0.018
"P13","Lo votaría",0.897,0.87,0.29,0.249,0.172
"P13","Puede que lo vote",0.023,0.064,0.092,0.08,0.06
"P13","Nunca lo votaría",0.054,0.063,0.475,0.625,0.757
"P13","No sabe",0.026,0.003,0.143,0.046,0.011
"P14","Lo votaría",0.066,0.056,0.302,0.437,0.714
"P14","Puede que lo vote",0.012,0.03,0.133,0.141,0.104
"P14","Nunca lo votaría",0.89,0.887,0.417,0.325,0.165
"P14","No sabe",0.032,0.027,0.148,0.097,0.017
