"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.627,0.043,0.07,0.081
"P10","Juntos por el Cambio",0.218,0.361,0.73,0.624
"P10","De los liberales libertarios",0.08,0.478,0.066,0.036
"P10","De la Izquierda",0.04,0.021,0.038,0.05
"P10","Hacemos por nuestro país",0.009,0.042,0.02,0.028
"P10","Otro",0.013,0.023,0.022,0.072
"P10","En blanco",0.001,0.002,0.035,0.016
"P10","No sabe",0.012,0.03,0.019,0.093
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.655,0.047,0.098,0.108
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.215,0.326,0.711,0.64
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.539,0.045,0.032
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.054,0.028,0.028,0.022
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.046,0.053,0.07
"P13","En blanco",0.01,0.002,0.048,0.03
"P13","No sabe",0.01,0.012,0.017,0.098
"P16","Union por la Patria",0.659,0.062,0.093,0.059
"P16","Cambiemos",0.189,0.475,0.69,0.701
"P16","Liberales",0.062,0.35,0.122,0.05
"P16","Izquierda",0.047,0.03,0.041,0.01
"P16","No sabe",0.043,0.083,0.054,0.18
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.57,0.09,0.115,0.161
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.225,0.458,0.655,0.617
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.092,0.331,0.075,0.065
"P17","La candidata a Jefe de Gobierno de la izquierda",0.038,0.027,0.044,0.028
"P17","En blanco",0.022,0.052,0.08,0.069
"P17","No sabe",0.053,0.042,0.031,0.06
"P26","Totalmente seguro",0.698,0.73,0.758,0.612
"P26","Bastante seguro",0.141,0.159,0.114,0.175
"P26","Algo seguro",0.114,0.067,0.092,0.109
"P26","Para nada seguro",0.047,0.044,0.036,0.104
"P27","Tiene Decidido que va a ir a votar",0.958,0.91,0.907,0.863
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.064,0.074,0.116
"P27","Tiene Decidido que no va a ir a votar",0.01,0.026,0.019,0.021
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.799,0.077,0.121,0.155
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.16,0.543,0.726,0.69
"P28","En blanco",0.012,0.24,0.113,0.017
"P28","No sabe",0.029,0.14,0.04,0.138
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.5,0.331,0.667,0.632
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.616,0.119,0.138
"P29","En blanco",0.29,0.034,0.184,0.023
"P29","No sabe",0.162,0.019,0.03,0.207
"P38","Inflación",0.409,0.374,0.332,0.255
"P38","Desempleo",0.133,0.062,0.017,0.069
"P38","Corrupción",0.11,0.407,0.441,0.347
"P38","Inseguridad",0.123,0.084,0.108,0.15
"P38","Precio del dólar",0.025,0,0.006,0.007
"P38","Pobreza",0.108,0.027,0.031,0.059
"P38","Narcotráfico",0.001,0.006,0,0.018
"P38","Tarifas",0.006,0,0.007,0
"P38","Otro",0.068,0.031,0.052,0.086
"P38","No sabe",0.017,0.009,0.006,0.009
"P10_imputada","Unión por la Patria",0.629,0.046,0.07,0.088
"P10_imputada","Juntos por el Cambio",0.226,0.361,0.741,0.684
"P10_imputada","De los liberales libertarios",0.08,0.487,0.07,0.057
"P10_imputada","De la Izquierda",0.041,0.021,0.042,0.055
"P10_imputada","Hacemos por nuestro país",0.009,0.06,0.02,0.028
"P10_imputada","Otro",0.014,0.023,0.022,0.072
"P10_imputada","En blanco",0.001,0.002,0.035,0.016
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.657,0.047,0.11,0.123
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.215,0.332,0.716,0.669
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.545,0.045,0.079
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.054,0.028,0.028,0.022
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.046,0.053,0.07
"P13_imputada","En blanco",0.01,0.002,0.048,0.037
"P16_imputada","Union por la Patria",0.682,0.078,0.115,0.101
"P16_imputada","Cambiemos",0.197,0.503,0.715,0.772
"P16_imputada","Liberales",0.071,0.389,0.129,0.107
"P16_imputada","Izquierda",0.05,0.03,0.041,0.02
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.602,0.099,0.121,0.16
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.23,0.469,0.659,0.666
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.097,0.336,0.093,0.065
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.045,0.04,0.044,0.028
"P17_imputada","En blanco",0.026,0.056,0.083,0.081
