"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de la izquierda","En blanco"
"P26","Totalmente seguro",0.706,0.722,0.711,0.701,0.345
"P26","Bastante seguro",0.142,0.148,0.175,0.102,0.183
"P26","Algo seguro",0.102,0.094,0.081,0.046,0.229
"P26","Para nada seguro",0.05,0.036,0.033,0.151,0.243
"P27","Tiene Decidido que va a ir a votar",0.923,0.944,0.882,0.876,0.683
"P27","Tiene dudas sobre si va a ir a  votar",0.065,0.036,0.111,0.082,0.192
"P27","Tiene Decidido que no va a ir a votar",0.012,0.02,0.007,0.042,0.125
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.748,0.139,0.238,0.431,0.23
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.119,0.785,0.309,0.187,0.301
"P28","En blanco",0.055,0.035,0.285,0.242,0.282
"P28","No sabe",0.078,0.041,0.168,0.14,0.187
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.328,0.766,0.217,0.274,0.283
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.118,0.167,0.647,0.221,0.315
"P29","En blanco",0.351,0.034,0.08,0.382,0.208
"P29","No sabe",0.203,0.033,0.056,0.123,0.194
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.754,0.195,0.221,0.409,0.182
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.099,0.318,0.614,0.287,0.316
"P30","En blanco",0.088,0.321,0.122,0.229,0.336
"P30","No sabe",0.059,0.166,0.043,0.075,0.166
"P38","Inflación",0.421,0.346,0.365,0.251,0.326
"P38","Desempleo",0.092,0.048,0.12,0.132,0.123
"P38","Corrupción",0.162,0.402,0.271,0.311,0.194
"P38","Inseguridad",0.073,0.119,0.153,0.061,0.158
"P38","Precio del dólar",0.028,0.004,0,0,0.029
"P38","Pobreza",0.103,0.035,0.055,0.159,0.018
"P38","Narcotráfico",0.002,0.007,0.004,0,0
"P38","Tarifas",0.006,0.002,0,0.011,0
"P38","Otro",0.094,0.026,0.029,0.075,0.152
"P38","No sabe",0.019,0.011,0.003,0,0
