"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.693,0.071,0.062,0.078,0.069,0.088,0.052
"P10","Juntos por el Cambio",0.175,0.837,0.102,0.135,0.148,0.081,0.048
"P10","De los liberales libertarios",0.079,0.058,0.712,0.054,0.046,0.163,0.124
"P10","De la Izquierda",0.02,0.015,0.034,0.6,0.112,0.096,0.012
"P10","Hacemos por nuestro país",0,0.005,0.044,0.028,0.321,0.01,0
"P10","Otro",0.009,0.007,0.012,0.101,0.193,0.137,0.012
"P10","En blanco",0.009,0,0.003,0,0.021,0.343,0.176
"P10","No sabe",0.015,0.007,0.031,0.004,0.09,0.082,0.576
"P16","Union por la Patria",0.695,0.1,0.139,0.27,0.106,0.21,0.127
"P16","Cambiemos",0.156,0.812,0.259,0.03,0.347,0.136,0.159
"P16","Liberales",0.074,0.064,0.482,0,0.122,0.093,0
"P16","Izquierda",0.027,0.001,0.026,0.593,0.065,0.066,0.027
"P16","No sabe",0.048,0.023,0.094,0.107,0.36,0.495,0.687
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.688,0.073,0.097,0.343,0.173,0.213,0.277
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.113,0.819,0.237,0.043,0.28,0.18,0.211
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.069,0.068,0.532,0.025,0.125,0.038,0.029
"P17","La candidata a Jefe de Gobierno de la izquierda",0.042,0.003,0.016,0.397,0.033,0.035,0
"P17","En blanco",0.034,0.02,0.048,0.091,0.295,0.515,0.132
"P17","No sabe",0.054,0.017,0.07,0.101,0.094,0.019,0.351
"P26","Totalmente seguro",0.689,0.744,0.741,0.584,0.442,0.404,0.156
"P26","Bastante seguro",0.142,0.147,0.139,0.232,0.225,0.202,0.104
"P26","Algo seguro",0.116,0.082,0.095,0.094,0.235,0.115,0.176
"P26","Para nada seguro",0.053,0.027,0.025,0.09,0.098,0.279,0.564
"P27","Tiene Decidido que va a ir a votar",0.918,0.946,0.914,0.897,0.56,0.717,0.808
"P27","Tiene dudas sobre si va a ir a  votar",0.061,0.04,0.076,0.046,0.271,0.139,0.152
"P27","Tiene Decidido que no va a ir a votar",0.021,0.014,0.01,0.057,0.169,0.144,0.04
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.878,0.119,0.119,0.35,0.206,0.193,0.309
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.848,0.348,0.086,0.407,0.06,0.143
"P28","En blanco",0.012,0.012,0.364,0.179,0.276,0.566,0
"P28","No sabe",0.025,0.021,0.169,0.385,0.111,0.181,0.548
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.347,0.849,0.126,0.165,0.461,0.219,0.161
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.112,0.822,0.228,0.148,0.135,0.116
"P29","En blanco",0.362,0.029,0.033,0.465,0.208,0.426,0.19
"P29","No sabe",0.213,0.01,0.019,0.142,0.183,0.22,0.533
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.835,0.196,0.084,0.536,0.113,0.2,0.17
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.246,0.847,0.232,0.37,0.027,0.164
"P30","En blanco",0.074,0.38,0.05,0.164,0.308,0.585,0.168
"P30","No sabe",0.042,0.178,0.019,0.068,0.209,0.188,0.498
"P38","Inflación",0.43,0.353,0.347,0.224,0.319,0.262,0.337
"P38","Desempleo",0.147,0.042,0.082,0.04,0.018,0.11,0
"P38","Corrupción",0.088,0.397,0.393,0.252,0.423,0.18,0.319
"P38","Inseguridad",0.097,0.124,0.093,0.196,0.061,0.173,0.056
"P38","Precio del dólar",0.035,0.002,0,0,0,0.025,0
"P38","Pobreza",0.094,0.031,0.055,0.076,0.031,0.118,0.253
"P38","Narcotráfico",0.002,0.005,0.004,0,0,0,0.035
"P38","Tarifas",0.007,0.003,0,0.006,0,0,0
"P38","Otro",0.078,0.033,0.025,0.206,0.125,0.132,0
"P38","No sabe",0.022,0.01,0.001,0,0.023,0,0
