"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.344,0.315,0.368,0.358,0.423,0.28,0.265,0.464,0.305,0.33,0.748,0.173,0.261,0.829,0.697,0.131,0.228,0.154
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.459,0.458,0.46,0.283,0.378,0.597,0.636,0.314,0.473,0.501,0.101,0.685,0.488,0.113,0.145,0.836,0.629,0.254
"En blanco",0.11,0.155,0.073,0.209,0.122,0.058,0.041,0.108,0.131,0.096,0.065,0.092,0.156,0.02,0.072,0.015,0.054,0.433
"No sabe",0.087,0.072,0.099,0.15,0.077,0.065,0.058,0.114,0.091,0.073,0.086,0.05,0.095,0.038,0.086,0.018,0.089,0.159
