"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.668,0.735,0.724,0.584,0.474,0.378
"P26","Bastante seguro",0.14,0.147,0.14,0.232,0.213,0.19
"P26","Algo seguro",0.12,0.085,0.093,0.094,0.221,0.107
"P26","Para nada seguro",0.072,0.033,0.043,0.09,0.092,0.325
"P27","Tiene Decidido que va a ir a votar",0.911,0.944,0.912,0.897,0.586,0.735
"P27","Tiene dudas sobre si va a ir a  votar",0.069,0.04,0.077,0.046,0.255,0.13
"P27","Tiene Decidido que no va a ir a votar",0.02,0.016,0.011,0.057,0.159,0.135
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.858,0.122,0.122,0.35,0.264,0.179
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.082,0.841,0.344,0.086,0.377,0.055
"P28","En blanco",0.011,0.012,0.353,0.179,0.256,0.526
"P28","No sabe",0.049,0.025,0.181,0.385,0.103,0.24
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.342,0.841,0.129,0.165,0.427,0.21
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.116,0.796,0.228,0.138,0.13
"P29","En blanco",0.367,0.029,0.036,0.465,0.193,0.408
"P29","No sabe",0.214,0.014,0.039,0.142,0.242,0.252
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.823,0.193,0.082,0.536,0.18,0.191
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.246,0.826,0.232,0.342,0.026
"P30","En blanco",0.081,0.378,0.048,0.164,0.285,0.559
"P30","No sabe",0.047,0.183,0.044,0.068,0.193,0.224
"P38","Inflación",0.433,0.356,0.337,0.224,0.288,0.297
"P38","Desempleo",0.144,0.041,0.08,0.04,0.016,0.105
"P38","Corrupción",0.089,0.395,0.402,0.252,0.382,0.172
"P38","Inseguridad",0.095,0.125,0.09,0.196,0.055,0.165
"P38","Precio del dólar",0.035,0.002,0,0,0,0.023
"P38","Pobreza",0.096,0.03,0.058,0.076,0.125,0.113
"P38","Narcotráfico",0.002,0.005,0.007,0,0,0
"P38","Tarifas",0.007,0.003,0,0.006,0,0
"P38","Otro",0.077,0.033,0.025,0.206,0.113,0.125
"P38","No sabe",0.022,0.01,0.001,0,0.021,0
