"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.238,0.223,0.251,0.197,0.316,0.215,0.178,0.257,0.194,0.265,0.6,0.091,0.261,0.657,0.556,0.06,0.215,0.064
"Juntos por el Cambio",0.41,0.364,0.447,0.219,0.333,0.563,0.609,0.294,0.427,0.438,0.133,0.626,0.316,0.189,0.137,0.815,0.539,0.089
"De los liberales libertarios",0.213,0.258,0.176,0.35,0.216,0.147,0.11,0.254,0.211,0.199,0.167,0.211,0.166,0.103,0.125,0.086,0.134,0.67
"De la Izquierda",0.055,0.056,0.053,0.074,0.069,0.036,0.026,0.081,0.06,0.041,0.041,0.027,0.053,0.022,0.15,0.011,0.03,0.051
"Hacemos por nuestro país",0.03,0.035,0.026,0.057,0.03,0.014,0.016,0.048,0.028,0.026,0.036,0.024,0.021,0.015,0,0.004,0.039,0.073
"Otro",0.032,0.035,0.03,0.066,0.02,0.008,0.039,0.048,0.047,0.016,0.012,0.016,0.123,0.012,0.007,0.01,0.018,0.047
"En blanco",0.022,0.029,0.017,0.037,0.016,0.017,0.022,0.018,0.033,0.015,0.011,0.005,0.06,0.002,0.025,0.014,0.025,0.006
