"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Totalmente seguro.",0.689,0.733,0.65,0.695,0.711,0.629,0.716,0.699,0.63,0.771,0.679,0.724,0.791,0.659,0.738,0.756,0.389,0.717,0.822,0.653,0.817,0.638,0.726
"Bastante seguro",0.177,0.138,0.212,0.172,0.14,0.261,0.156,0.147,0.229,0.141,0.205,0.121,0.137,0.187,0.141,0.148,0.528,0.155,0.067,0.17,0.167,0.195,0.164
"Algo seguro",0.081,0.072,0.089,0.11,0.082,0.052,0.065,0.078,0.099,0.056,0.065,0.029,0.06,0.146,0.083,0.053,0.072,0.083,0.1,0.102,0.009,0.102,0.066
"Para nada seguro",0.053,0.057,0.049,0.023,0.067,0.058,0.063,0.076,0.042,0.032,0.051,0.126,0.012,0.008,0.038,0.043,0.011,0.045,0.011,0.075,0.007,0.065,0.044
