"var","categoria","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente","En blanco","No sabe"
"P05","Mucho",0.451,0.456,0.527,0.25,0.533,0.588,0.327,0.164,0.314
"P05","Bastante",0.279,0.298,0.299,0.23,0.249,0.291,0.063,0.411,0.091
"P05","Poco",0.195,0.221,0.092,0.396,0.201,0.121,0.568,0.347,0.385
"P05","Nada",0.064,0.019,0.082,0.062,0.017,0,0.042,0.078,0.095
"P05","No sabe",0.011,0.006,0,0.062,0,0,0,0,0.115
"P06","Siempre",0.224,0.296,0.278,0.236,0.253,0.048,0.327,0.115,0.261
"P06","Casi siempre",0.355,0.274,0.325,0.168,0.294,0.483,0.464,0.082,0.185
"P06","Casi nunca",0.298,0.301,0.24,0.421,0.276,0.469,0,0.412,0.349
"P06","Nunca, pero esta es una excepción",0.123,0.129,0.157,0.175,0.177,0,0.209,0.391,0.205
"P09","Frente chaqueño",0.589,0.131,0.137,0.07,0.046,0.048,0,0.009,0
"P09","Juntos por el cambio",0.289,0.662,0.148,0.209,0.07,0.119,0,0,0.057
"P09","Corriente de expresión renovada",0.008,0.049,0.559,0,0.004,0,0,0,0
"P09","Partido Integrador",0.001,0.009,0,0.324,0,0,0,0.097,0.029
"P09","La libertad avanza",0.022,0.115,0.105,0.225,0.785,0.59,0.063,0.129,0.058
"P09","Libertarios en acción",0.002,0.009,0.033,0,0.03,0.243,0,0,0.007
"P09","Frente unidos por la gente",0.005,0.002,0,0.011,0.026,0,0.369,0,0
"P09","En blanco",0.042,0.014,0,0.014,0,0,0.464,0.512,0.036
"P09","No sabe",0.042,0.009,0.018,0.147,0.039,0,0.104,0.253,0.813
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.359,0.588,0.349,0.363,0.728,0.559,0.051,0.39,0.589
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.251,0.25,0.15,0.153,0.046,0.288,0.692,0.114,0.067
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.236,0.092,0.357,0.053,0.009,0,0,0.102,0.028
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.076,0.027,0.128,0.366,0.107,0,0,0.141,0.048
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.033,0.002,0.016,0,0.099,0,0.103,0.102,0
"P13","No sabe",0.045,0.041,0,0.065,0.011,0.153,0.154,0.151,0.268
"P14","Totalmente seguro.",0.684,0.758,0.707,0.471,0.877,0.593,0,0.286,0.396
"P14","Bastante seguro",0.21,0.154,0.237,0.168,0.046,0.04,0,0.192,0.198
"P14","Algo seguro",0.067,0.068,0.039,0.222,0.07,0.367,0.102,0.28,0.124
"P14","Para nada seguro",0.039,0.02,0.017,0.139,0.007,0,0.898,0.242,0.282
"P15","Tiene Decidido que va a ir a votar.",0.816,0.894,0.91,0.913,0.949,0.753,0.331,0.612,0.623
"P15","Tiene dudas sobre si va a ir a  votar",0.161,0.08,0.062,0.087,0.025,0,0,0.367,0.377
"P15","Tiene Decidido que no va a ir a votar",0.023,0.026,0.028,0,0.026,0.247,0.669,0.021,0
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.705,0.139,0.415,0.33,0.022,0.386,0,0.163,0.192
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.406,0.176,0.264,0.101,0.156,0,0.028,0.076
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.143,0.424,0.371,0.322,0.877,0.458,0,0.622,0.225
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.032,0.002,0.021,0.016,0,0,0,0,0
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.002,0,0.034,0,0,0.674,0,0.009
"P16","En blanco",0.01,0.002,0.017,0,0,0,0,0.187,0.115
"P16","No sabe",0.019,0.025,0,0.034,0,0,0.326,0,0.383
"P19","Si",0.592,0.476,0.612,0.555,0.518,0.416,0.687,0.303,0.455
"P19","No",0.408,0.524,0.388,0.445,0.482,0.584,0.313,0.697,0.545
