"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Si",0.531,0.566,0.498,0.519,0.535,0.604,0.418,0.561,0.501,0.528,0.573,0.533,0.508,0.447,0.454,0.599,0.541,0.454,0.53,0.552,0.444,0.497,0.554
"No",0.469,0.434,0.502,0.481,0.465,0.396,0.582,0.439,0.499,0.472,0.427,0.467,0.492,0.553,0.546,0.401,0.459,0.546,0.47,0.448,0.556,0.503,0.446
