"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Frente chaqueño",0.297,0.309,0.286,0.316,0.309,0.27,0.265,0.316,0.264,0.319,0.59,0.462,0.026,0.106,0.066,0.622,0.159,0.053,0.181,0.257,0.009,0.326,0.278
"Juntos por el cambio",0.39,0.372,0.407,0.358,0.358,0.462,0.438,0.353,0.395,0.449,0.253,0.332,0.804,0.552,0.393,0.231,0.58,0.698,0.628,0.24,0.043,0.345,0.422
"La libertad avanza",0.117,0.112,0.122,0.14,0.129,0.09,0.075,0.092,0.159,0.092,0.028,0.042,0.041,0.107,0.423,0.046,0.029,0.102,0.069,0.115,0.87,0.109,0.122
"Libertarios en acción",0.01,0.014,0.007,0.005,0.013,0.011,0.013,0.009,0.01,0.013,0,0,0,0,0.039,0.003,0.029,0.006,0.036,0,0.045,0.01,0.01
"Corriente de expresión renovada",0.038,0.038,0.037,0.025,0.032,0.043,0.075,0.039,0.035,0.041,0.033,0.164,0.09,0,0.003,0.017,0.062,0.051,0.01,0.336,0.013,0.055,0.026
"Partido Integrador",0.017,0.031,0.004,0.008,0.023,0.018,0.011,0.025,0.013,0.007,0.008,0,0.005,0.199,0.002,0.005,0.039,0.035,0,0,0,0.023,0.012
"Frente unidos por la gente",0.008,0.01,0.007,0.005,0.005,0.016,0.011,0.01,0.003,0.013,0.008,0,0.003,0,0.005,0.005,0,0.002,0,0.052,0,0.012,0.005
"En blanco",0.042,0.052,0.033,0.056,0.047,0.02,0.036,0.056,0.047,0.009,0.027,0,0.003,0,0.024,0.022,0.05,0.031,0.039,0,0,0.037,0.046
"No sabe",0.081,0.062,0.097,0.087,0.084,0.07,0.076,0.1,0.074,0.057,0.053,0,0.028,0.036,0.045,0.049,0.052,0.022,0.037,0,0.02,0.083,0.079
