"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.398,0.345,0.447,0.358,0.412,0.457,0.335,0.453,0.374,0.343,0.756,0.315,0.101,0.05,0.033,0.663,0.623,0.1,0.35,0.473,0.043,0.434,0.373
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.203,0.225,0.182,0.071,0.17,0.277,0.451,0.177,0.183,0.28,0.042,0.248,0.73,0.489,0.08,0.075,0.143,0.45,0.388,0.14,0.038,0.198,0.206
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.321,0.348,0.297,0.477,0.324,0.223,0.159,0.254,0.4,0.306,0.126,0.382,0.156,0.338,0.821,0.187,0.147,0.42,0.202,0.367,0.896,0.299,0.337
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.026,0.007,0.04,0.005,0.008,0.015,0.023,0.009,0.016,0.028,0.055,0,0,0.002,0.034,0.006,0,0,0.011,0,0.013,0.018
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.01,0.007,0.012,0,0.019,0.007,0.003,0.018,0,0.012,0,0,0,0.015,0.037,0.019,0,0.002,0.007,0.009,0,0.004,0.014
"En blanco",0.015,0.02,0.011,0.026,0.019,0.005,0,0.02,0.012,0.013,0.012,0,0,0.025,0,0.003,0.052,0,0.01,0,0,0.006,0.022
"No sabe",0.037,0.029,0.044,0.028,0.051,0.023,0.037,0.055,0.022,0.03,0.036,0,0.013,0.083,0.027,0.019,0.029,0.028,0.043,0,0.023,0.046,0.03
