"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.418,0.36,0.471,0.379,0.439,0.467,0.345,0.488,0.384,0.353,0.779,0.315,0.109,0.078,0.052,0.682,0.623,0.113,0.387,0.473,0.066,0.451,0.394
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.207,0.227,0.189,0.078,0.171,0.28,0.462,0.177,0.186,0.292,0.046,0.248,0.735,0.489,0.084,0.075,0.154,0.454,0.394,0.14,0.038,0.203,0.21
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.333,0.358,0.31,0.477,0.347,0.227,0.172,0.275,0.405,0.313,0.135,0.382,0.156,0.393,0.825,0.187,0.165,0.431,0.202,0.367,0.896,0.322,0.341
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.025,0.007,0.04,0.005,0.008,0.015,0.023,0.009,0.016,0.028,0.055,0,0,0.002,0.034,0.006,0,0,0.011,0,0.013,0.018
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.009,0.007,0.012,0,0.019,0.007,0.003,0.018,0,0.012,0,0,0,0.015,0.037,0.019,0,0.002,0.007,0.009,0,0.003,0.014
"En blanco",0.017,0.023,0.011,0.026,0.019,0.011,0.003,0.019,0.016,0.014,0.012,0,0,0.025,0,0.003,0.052,0,0.01,0,0,0.008,0.023
