"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Mucho",0.388,0.399,0.377,0.38,0.356,0.443,0.43,0.353,0.389,0.476,0.435,0.63,0.437,0.438,0.381,0.428,0.618,0.413,0.35,0.646,0.389,0.485,0.325
"Bastante",0.297,0.268,0.325,0.257,0.321,0.287,0.364,0.277,0.298,0.346,0.304,0.245,0.351,0.227,0.299,0.32,0.224,0.287,0.307,0.183,0.259,0.231,0.34
"Poco",0.228,0.231,0.225,0.28,0.229,0.19,0.118,0.256,0.234,0.144,0.179,0.125,0.169,0.162,0.259,0.181,0.07,0.247,0.153,0.065,0.316,0.195,0.249
"Nada",0.071,0.088,0.055,0.079,0.073,0.061,0.054,0.093,0.067,0.023,0.063,0,0.017,0.168,0.052,0.064,0.079,0.036,0.178,0.098,0,0.067,0.074
"No sabe",0.016,0.014,0.018,0.004,0.021,0.019,0.034,0.021,0.012,0.011,0.019,0,0.026,0.005,0.009,0.007,0.009,0.017,0.012,0.008,0.036,0.022,0.012
