"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Capitanich","Espinoza","Zdero","Polini","Martinez","Rodriguez","Resistencia","Otra localidad"
"Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.475,0.462,0.488,0.515,0.474,0.443,0.399,0.524,0.448,0.394,0.746,0.559,0.19,0.274,0.163,0.798,0.631,0.154,0.284,0.178,0.029,0.451,0.491
"Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.364,0.339,0.388,0.366,0.309,0.408,0.465,0.343,0.335,0.472,0.188,0.311,0.749,0.546,0.498,0.165,0.255,0.75,0.564,0.222,0.176,0.364,0.363
"Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.061,0.074,0.049,0.063,0.077,0.057,0.011,0.037,0.093,0.065,0.016,0,0.004,0.032,0.229,0.013,0.017,0.045,0.004,0.061,0.673,0.06,0.062
"Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.004,0.006,0.002,0,0.005,0.006,0.012,0.002,0.006,0.006,0,0,0.008,0,0.012,0,0.01,0.007,0,0,0.025,0.005,0.004
"Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.033,0.039,0.028,0.018,0.049,0.021,0.051,0.021,0.05,0.034,0.029,0.13,0.025,0.03,0.033,0.013,0.042,0.014,0.047,0.483,0.033,0.042,0.027
"Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.026,0.029,0.023,0.014,0.037,0.021,0.042,0.029,0.03,0.014,0.018,0,0.017,0.071,0.042,0.007,0.045,0.009,0.087,0.056,0.037,0.043,0.016
"Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0.006,0.011,0.001,0.006,0,0.013,0.012,0.006,0.008,0.003,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006
"En blanco",0.031,0.04,0.021,0.018,0.049,0.031,0.008,0.038,0.03,0.012,0.003,0,0.007,0.047,0.023,0.004,0,0.021,0.014,0,0.027,0.029,0.031
