"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Horacio Rodriguez Larreta","Muy buena",0.266,0.193,0.337,0.217,0.263,0.259,0.358,0.24,0.249,0.322
"Horacio Rodriguez Larreta","Buena",0.164,0.186,0.142,0.119,0.177,0.198,0.128,0.168,0.134,0.205
"Horacio Rodriguez Larreta","Ni buena ni mala",0.191,0.211,0.171,0.222,0.174,0.193,0.194,0.218,0.197,0.15
"Horacio Rodriguez Larreta","Mala",0.104,0.127,0.082,0.1,0.105,0.084,0.141,0.084,0.114,0.112
"Horacio Rodriguez Larreta","Muy mala",0.245,0.263,0.229,0.299,0.254,0.239,0.153,0.24,0.275,0.205
"Horacio Rodriguez Larreta","No sabe",0.03,0.02,0.039,0.043,0.027,0.027,0.026,0.05,0.031,0.006
"Alberto Fernandez","Muy buena",0.225,0.204,0.246,0.173,0.246,0.223,0.238,0.307,0.222,0.137
"Alberto Fernandez","Buena",0.135,0.146,0.124,0.142,0.143,0.126,0.114,0.113,0.165,0.11
"Alberto Fernandez","Ni buena ni mala",0.1,0.084,0.117,0.092,0.107,0.096,0.099,0.115,0.102,0.081
"Alberto Fernandez","Mala",0.118,0.122,0.114,0.061,0.134,0.139,0.119,0.152,0.107,0.1
"Alberto Fernandez","Muy mala",0.401,0.419,0.382,0.511,0.347,0.401,0.408,0.279,0.387,0.56
"Alberto Fernandez","No sabe",0.021,0.025,0.017,0.021,0.023,0.015,0.022,0.034,0.017,0.012
"CFK","Muy buena",0.278,0.275,0.281,0.254,0.292,0.29,0.249,0.306,0.304,0.204
"CFK","Buena",0.062,0.059,0.065,0.066,0.064,0.052,0.065,0.049,0.085,0.038
"CFK","Ni buena ni mala",0.066,0.061,0.071,0.072,0.07,0.056,0.062,0.106,0.061,0.03
"CFK","Mala",0.063,0.063,0.063,0.035,0.071,0.074,0.062,0.104,0.044,0.047
"CFK","Muy mala",0.517,0.528,0.507,0.557,0.482,0.523,0.56,0.416,0.5,0.659
"CFK","No sabe",0.014,0.014,0.013,0.016,0.021,0.005,0.002,0.019,0.006,0.022
"Sergio Massa","Muy buena",0.141,0.134,0.149,0.166,0.13,0.12,0.175,0.19,0.152,0.07
"Sergio Massa","Buena",0.118,0.12,0.116,0.048,0.147,0.133,0.104,0.11,0.129,0.108
"Sergio Massa","Ni buena ni mala",0.164,0.159,0.168,0.157,0.201,0.124,0.118,0.193,0.186,0.095
"Sergio Massa","Mala",0.115,0.118,0.113,0.132,0.117,0.104,0.103,0.079,0.106,0.171
"Sergio Massa","Muy mala",0.439,0.455,0.423,0.474,0.382,0.494,0.484,0.379,0.414,0.548
"Sergio Massa","No sabe",0.023,0.014,0.031,0.023,0.023,0.025,0.016,0.049,0.013,0.008
"Mauricio Macri","Muy buena",0.125,0.103,0.147,0.137,0.119,0.134,0.114,0.087,0.136,0.15
"Mauricio Macri","Buena",0.114,0.106,0.122,0.13,0.09,0.13,0.144,0.099,0.099,0.155
"Mauricio Macri","Ni buena ni mala",0.194,0.171,0.216,0.122,0.2,0.244,0.198,0.235,0.161,0.201
"Mauricio Macri","Mala",0.159,0.176,0.143,0.131,0.163,0.123,0.249,0.178,0.153,0.149
"Mauricio Macri","Muy mala",0.392,0.427,0.357,0.459,0.414,0.349,0.29,0.365,0.445,0.335
"Mauricio Macri","No sabe",0.016,0.017,0.015,0.021,0.014,0.02,0.005,0.036,0.006,0.01
