"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"A Segundo cernadas por Juntos",0.407,0.357,0.455,0.373,0.38,0.468,0.458,0.348,0.394,0.504
"A Gisela Zamora por el frente de todos",0.385,0.369,0.401,0.301,0.431,0.388,0.384,0.446,0.413,0.26
"A Juan José Cervetto por avanza libertad",0.058,0.091,0.027,0.121,0.046,0.042,0.011,0.036,0.07,0.066
"A Paula Yamila Akerfeld por el Frente de Izquierda",0.029,0.036,0.023,0.011,0.038,0.035,0.023,0.039,0.02,0.034
"A Matias Orfo por Vamos con vos",0.008,0.011,0.006,0,0.009,0.007,0.023,0.007,0,0.024
"A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.029,0.046,0.011,0.062,0.02,0.007,0.028,0.019,0.035,0.027
"En blanco o anularía",0.084,0.09,0.077,0.132,0.076,0.053,0.073,0.105,0.068,0.085
