"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"A Santilli y Manes por Juntos",0.475,0.422,0.526,0.413,0.446,0.515,0.578,0.457,0.422,0.579
"A Tolosa Paz por el Frente de Todos",0.348,0.334,0.361,0.255,0.39,0.353,0.34,0.346,0.398,0.268
"A del Caño por el Frente de Izquierda",0.022,0.031,0.014,0.007,0.037,0.014,0.012,0.036,0.017,0.017
"A Espert por Avanza libertad",0.084,0.115,0.054,0.235,0.063,0.037,0.018,0.047,0.098,0.099
"A Randazzo ""Vamos con vos""",0.033,0.044,0.022,0.027,0.03,0.033,0.052,0.042,0.036,0.019
"Votaría en blanco o anularía",0.038,0.054,0.023,0.063,0.034,0.048,0,0.072,0.029,0.018
