"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"A Segundo cernadas por Juntos",0.446,0.391,0.499,0.409,0.418,0.488,0.506,0.411,0.408,0.544
"A Gisela Zamora por el frente de todos",0.394,0.39,0.398,0.312,0.439,0.381,0.394,0.412,0.459,0.268
"A Juan José Cervetto por avanza libertad",0.064,0.097,0.032,0.156,0.05,0.045,0.014,0.05,0.071,0.068
"A Paula Yamila Akerfeld por el Frente de Izquierda",0.027,0.032,0.022,0.013,0.032,0.034,0.02,0.043,0.014,0.032
"A Matias Orfo por Vamos con vos",0.009,0.011,0.007,0,0.011,0.008,0.013,0.005,0,0.027
"A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.016,0.028,0.005,0.032,0.014,0.007,0.019,0.013,0.017,0.018
"En blanco o anularía",0.044,0.051,0.037,0.078,0.036,0.037,0.034,0.066,0.031,0.043
