"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"A Santilli y Manes por Juntos",0.454,0.41,0.496,0.396,0.427,0.491,0.565,0.427,0.405,0.569
"A Tolosa Paz por el Frente de Todos",0.351,0.332,0.367,0.263,0.388,0.359,0.343,0.374,0.39,0.259
"A del Caño por el Frente de Izquierda",0.023,0.029,0.017,0.007,0.034,0.022,0.011,0.038,0.016,0.018
"A Espert por Avanza libertad",0.087,0.124,0.053,0.239,0.063,0.04,0.026,0.055,0.104,0.095
"A Randazzo ""Vamos con vos""",0.033,0.042,0.024,0.037,0.027,0.031,0.05,0.037,0.033,0.026
"Votaría en blanco o anularía",0.052,0.063,0.043,0.058,0.061,0.057,0.005,0.069,0.052,0.033
