"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"A Segundo cernadas por Juntos",0.426,0.382,0.466,0.379,0.4,0.474,0.491,0.38,0.399,0.523
"A Gisela Zamora por el frente de todos",0.406,0.388,0.422,0.328,0.449,0.393,0.4,0.451,0.455,0.27
"A Juan José Cervetto por avanza libertad",0.064,0.102,0.03,0.165,0.046,0.045,0.013,0.044,0.076,0.07
"A Paula Yamila Akerfeld por el Frente de Izquierda",0.031,0.039,0.023,0.012,0.039,0.037,0.018,0.047,0.018,0.034
"A Matias Orfo por Vamos con vos",0.008,0.01,0.006,0,0.01,0.007,0.013,0.004,0,0.025
"A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.016,0.026,0.007,0.03,0.013,0.006,0.028,0.016,0.016,0.017
"En blanco o anularía",0.049,0.053,0.046,0.086,0.043,0.038,0.037,0.058,0.036,0.061
