"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Horacio Rodriguez Larreta","Muy buena",0.286,0.211,0.364,0.24,0.282,0.275,0.377,0.277,0.26,0.336
"Horacio Rodriguez Larreta","Buena",0.157,0.191,0.122,0.098,0.173,0.187,0.136,0.158,0.127,0.201
"Horacio Rodriguez Larreta","Ni buena ni mala",0.177,0.192,0.162,0.199,0.159,0.196,0.171,0.215,0.182,0.133
"Horacio Rodriguez Larreta","Mala",0.107,0.127,0.088,0.097,0.11,0.082,0.154,0.084,0.118,0.113
"Horacio Rodriguez Larreta","Muy mala",0.254,0.27,0.236,0.34,0.261,0.247,0.134,0.236,0.291,0.215
"Horacio Rodriguez Larreta","No sabe",0.019,0.009,0.028,0.026,0.015,0.013,0.028,0.03,0.022,0.002
"Alberto Fernandez","Muy buena",0.24,0.218,0.262,0.21,0.259,0.235,0.229,0.317,0.25,0.145
"Alberto Fernandez","Buena",0.12,0.134,0.105,0.147,0.106,0.127,0.114,0.064,0.166,0.106
"Alberto Fernandez","Ni buena ni mala",0.083,0.077,0.089,0.039,0.097,0.087,0.093,0.111,0.073,0.069
"Alberto Fernandez","Mala",0.119,0.123,0.115,0.05,0.141,0.132,0.123,0.173,0.099,0.096
"Alberto Fernandez","Muy mala",0.422,0.434,0.411,0.529,0.388,0.404,0.417,0.316,0.392,0.578
"Alberto Fernandez","No sabe",0.016,0.014,0.018,0.025,0.009,0.015,0.024,0.019,0.02,0.006
"CFK","Muy buena",0.286,0.291,0.28,0.259,0.297,0.296,0.269,0.322,0.312,0.209
"CFK","Buena",0.053,0.054,0.053,0.081,0.044,0.046,0.057,0.011,0.093,0.034
"CFK","Ni buena ni mala",0.052,0.042,0.062,0.033,0.067,0.043,0.047,0.102,0.034,0.029
"CFK","Mala",0.059,0.062,0.056,0.042,0.06,0.079,0.046,0.094,0.044,0.046
"CFK","Muy mala",0.546,0.549,0.543,0.585,0.525,0.533,0.579,0.471,0.51,0.678
"CFK","No sabe",0.004,0.002,0.006,0,0.007,0.003,0.002,0,0.007,0.004
"Sergio Massa","Muy buena",0.143,0.132,0.155,0.177,0.128,0.126,0.171,0.201,0.153,0.07
"Sergio Massa","Buena",0.11,0.122,0.098,0.032,0.136,0.13,0.099,0.084,0.125,0.113
"Sergio Massa","Ni buena ni mala",0.145,0.153,0.136,0.091,0.189,0.117,0.129,0.183,0.165,0.076
"Sergio Massa","Mala",0.124,0.121,0.126,0.161,0.124,0.106,0.104,0.083,0.117,0.174
"Sergio Massa","Muy mala",0.464,0.471,0.457,0.511,0.412,0.508,0.488,0.421,0.428,0.563
"Sergio Massa","No sabe",0.014,0.001,0.028,0.028,0.011,0.013,0.009,0.028,0.012,0.004
"Mauricio Macri","Muy buena",0.139,0.113,0.165,0.167,0.131,0.142,0.121,0.101,0.151,0.159
"Mauricio Macri","Buena",0.112,0.103,0.123,0.132,0.079,0.131,0.157,0.094,0.09,0.165
"Mauricio Macri","Ni buena ni mala",0.194,0.178,0.21,0.13,0.202,0.225,0.201,0.229,0.166,0.199
"Mauricio Macri","Mala",0.164,0.194,0.134,0.113,0.174,0.132,0.256,0.188,0.165,0.14
"Mauricio Macri","Muy mala",0.384,0.401,0.365,0.432,0.414,0.361,0.263,0.365,0.428,0.334
"Mauricio Macri","No sabe",0.007,0.011,0.003,0.026,0,0.009,0.002,0.023,0,0.003
