"var","categoria","Cristiano no practicante","Católico apostólico romano","Cristiano evangelista o pentecostal","Otras confesiones cristianas","Musulmán","Judío","Otras","No soy religioso","Ateo"
"P10","Siempre",0.308,0.248,0.195,0.104,0.292,0.788,0.259,0.154,0.175
"P10","Casi siempre",0.352,0.266,0.27,0.241,0.423,0.076,0.15,0.251,0.43
"P10","Casi nunca",0.192,0.308,0.421,0.359,0.243,0.097,0.116,0.312,0.305
"P10","Nunca, pero esta es una excepción",0.148,0.178,0.114,0.296,0.042,0.039,0.475,0.283,0.09
"P11","Unión por la Patria",0.468,0.332,0.407,0.301,0.585,0.449,0.642,0.409,0.468
"P11","Juntos por el Cambio",0.458,0.419,0.348,0.445,0.116,0.551,0.358,0.501,0.511
"P11","En blanco",0.043,0.108,0.178,0.183,0.299,0,0,0.051,0.012
"P11","No sabe",0.031,0.141,0.067,0.071,0,0,0,0.039,0.009
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.501,0.369,0.568,0.257,0.592,0.825,0.642,0.47,0.555
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.447,0.447,0.406,0.605,0.122,0.175,0.358,0.488,0.424
"P13","En blanco",0.029,0.08,0.006,0.076,0.277,0,0,0.022,0.012
"P13","No sabe",0.023,0.104,0.02,0.062,0.009,0,0,0.02,0.009
"P15","Totalmente seguro",0.74,0.788,0.829,0.814,0.731,0.666,0.864,0.892,0.93
"P15","Bastante seguro",0.208,0.117,0.129,0.072,0.098,0,0.015,0.062,0.025
"P15","Algo seguro",0.036,0.049,0.011,0.047,0.158,0.334,0.121,0.019,0.013
"P15","Para nada seguro",0.016,0.046,0.031,0.067,0.013,0,0,0.027,0.032
"P16","Tiene Decidido que va a ir a votar",0.968,0.936,0.981,0.657,0.739,1,1,0.98,0.982
"P16","Tiene dudas sobre si va a ir a  votar",0.029,0.058,0.009,0.147,0.116,0,0,0.013,0.018
"P16","Tiene Decidido que no va a ir a votar",0.003,0.006,0.01,0.196,0.145,0,0,0.007,0
"P17","Lo votaría",0.597,0.387,0.627,0.399,0.663,0.624,0.642,0.47,0.457
"P17","Puede que lo vote",0.055,0.051,0.018,0.026,0.079,0,0,0,0.02
"P17","Nunca lo votaría",0.337,0.491,0.313,0.575,0.258,0.042,0.358,0.502,0.523
"P17","No sabe",0.011,0.071,0.042,0,0,0.334,0,0.028,0
"P18","Lo votaría",0.52,0.431,0.284,0.574,0.154,0.509,0.422,0.536,0.29
"P18","Puede que lo vote",0.057,0.061,0.013,0.089,0,0,0,0.022,0.013
"P18","Nunca lo votaría",0.417,0.446,0.681,0.322,0.834,0.491,0.578,0.422,0.688
"P18","No sabe",0.006,0.062,0.022,0.015,0.012,0,0,0.02,0.009
"P19","Muy buena",0.56,0.377,0.205,0.319,0.491,0.005,0.018,0.254,0.111
"P19","Buena",0.101,0.155,0.097,0.215,0.03,0.375,0.029,0.138,0.077
"P19","Ni buena ni mala",0.21,0.302,0.583,0.273,0.352,0.244,0.647,0.428,0.426
"P19","Mala",0.112,0.121,0,0.151,0.041,0.042,0.256,0.111,0.096
"P19","Muy mala",0.007,0.027,0.088,0,0.086,0.334,0,0.026,0.29
"P19","No sabe",0.01,0.018,0.027,0.042,0,0,0.05,0.043,0
"P20","Totalmente de acuerdo",0.312,0.207,0.091,0.245,0.139,0,0.745,0.333,0.035
"P20","Algo de acuerdo",0.16,0.088,0.014,0.004,0.009,0,0.015,0.043,0.059
"P20","ni de acuerdo ni en desacuerdo",0.154,0.228,0.804,0.244,0.071,0.205,0.211,0.2,0.218
"P20","En desacuerdo",0.255,0.286,0.049,0.389,0.018,0.081,0,0.176,0.064
"P20","Totalmente en desacuerdo",0.119,0.191,0.042,0.118,0.763,0.714,0.029,0.248,0.624
"P11_imputada","Unión por la Patria",0.473,0.394,0.454,0.357,0.585,0.449,0.642,0.427,0.468
"P11_imputada","Juntos por el Cambio",0.482,0.498,0.368,0.46,0.116,0.551,0.358,0.521,0.52
"P11_imputada","En blanco",0.045,0.108,0.178,0.183,0.299,0,0,0.052,0.012
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.504,0.427,0.584,0.298,0.592,0.825,0.642,0.481,0.555
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.467,0.487,0.41,0.619,0.122,0.175,0.358,0.497,0.433
"P13_imputada","En blanco",0.029,0.086,0.006,0.083,0.286,0,0,0.022,0.012
