"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Siempre",0.216,0.189,0.221
"P10","Casi siempre",0.303,0.301,0.232
"P10","Casi nunca",0.307,0.301,0.257
"P10","Nunca, pero esta es una excepción",0.174,0.209,0.29
"P11","Unión por la Patria",0.403,0.198,0.235
"P11","Juntos por el Cambio",0.441,0.341,0.268
"P11","En blanco",0.083,0.209,0.283
"P11","No sabe",0.073,0.252,0.214
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.466,0.272,0.205
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.458,0.333,0.243
"P13","En blanco",0.037,0.185,0.304
"P13","No sabe",0.039,0.21,0.248
"P15","Totalmente seguro",0.78,0.327,0.29
"P15","Bastante seguro",0.122,0.264,0.058
"P15","Algo seguro",0.042,0.125,0.382
"P15","Para nada seguro",0.056,0.284,0.27
"P17","Lo votaría",0.525,0.183,0.185
"P17","Puede que lo vote",0.039,0.255,0.093
"P17","Nunca lo votaría",0.414,0.456,0.616
"P17","No sabe",0.022,0.106,0.106
"P18","Lo votaría",0.428,0.215,0.185
"P18","Puede que lo vote",0.076,0.303,0.16
"P18","Nunca lo votaría",0.468,0.363,0.534
"P18","No sabe",0.028,0.119,0.121
"P19","Muy buena",0.364,0.158,0.115
"P19","Buena",0.127,0.056,0.028
"P19","Ni buena ni mala",0.323,0.419,0.764
"P19","Mala",0.119,0.265,0.093
"P19","Muy mala",0.038,0.052,0
"P19","No sabe",0.029,0.05,0
"P20","Totalmente de acuerdo",0.258,0.134,0.336
"P20","Algo de acuerdo",0.078,0.141,0.101
"P20","ni de acuerdo ni en desacuerdo",0.254,0.402,0.137
"P20","En desacuerdo",0.225,0.168,0.255
"P20","Totalmente en desacuerdo",0.185,0.155,0.171
"P21","Cristiano no practicante",0.255,0.153,0.031
"P21","Católico apostólico romano",0.426,0.518,0.114
"P21","Cristiano evangelista o pentecostal",0.112,0.021,0.048
"P21","Otras confesiones cristianas",0.045,0.2,0.571
"P21","Musulmán",0.026,0.08,0.215
"P21","Judío",0.016,0,0
"P21","Otras",0.023,0,0
"P21","No soy religioso",0.064,0.016,0.021
"P21","Ateo",0.033,0.012,0
"P11_imputada","Unión por la Patria",0.435,0.303,0.299
"P11_imputada","Juntos por el Cambio",0.472,0.457,0.358
"P11_imputada","En blanco",0.093,0.24,0.343
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.482,0.347,0.31
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.477,0.436,0.349
"P13_imputada","En blanco",0.041,0.217,0.341
