"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.478,0.465,0.491,0.433,0.515,0.499,0.436,0.553,0.444,0.44,0.797,0.155,0.491,0.412,0.5,0.479,0.523,0.893,0.16,0.098,0.421,0.269
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.459,0.476,0.443,0.497,0.43,0.447,0.482,0.4,0.48,0.497,0.174,0.78,0.429,0.507,0.455,0.487,0.415,0.09,0.74,0.866,0.341,0.61
"En blanco",0.063,0.059,0.066,0.07,0.055,0.054,0.082,0.047,0.076,0.063,0.029,0.065,0.08,0.081,0.045,0.034,0.062,0.017,0.1,0.036,0.238,0.121
