"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.43,0.414,0.445,0.402,0.461,0.44,0.386,0.51,0.396,0.388,0.768,0.141,0.464,0.378,0.455,0.417,0.463,0.891,0.157,0.102,0.417,0.267
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.507,0.528,0.488,0.53,0.484,0.504,0.53,0.443,0.528,0.549,0.201,0.797,0.453,0.543,0.5,0.549,0.474,0.091,0.746,0.862,0.343,0.614
"En blanco",0.063,0.058,0.067,0.068,0.055,0.056,0.084,0.047,0.076,0.063,0.031,0.062,0.083,0.079,0.045,0.034,0.063,0.018,0.097,0.036,0.24,0.119
