"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.459,0.439,0.477,0.431,0.488,0.466,0.421,0.535,0.429,0.414,0.793,0.15,0.506,0.41,0.476,0.432,0.494,0.907,0.174,0.106,0.549,0.303
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.541,0.561,0.523,0.569,0.512,0.534,0.579,0.465,0.571,0.586,0.207,0.85,0.494,0.59,0.524,0.568,0.506,0.093,0.826,0.894,0.451,0.697
