"var","categoria","Ramón Rioseco","Rubén Ojito García","Otros candidatos","En blanco","No sabe"
"P08","Lo votaría",0.198,0.694,0.094,0.09,0
"P08","Puede que lo vote",0.222,0.254,0.187,0.245,0.139
"P08","Nunca lo votaría",0.521,0.016,0.433,0.148,0.178
"P08","No sabe",0.059,0.036,0.286,0.517,0.683
"P09","Lo votaría",0.729,0.291,0.138,0.086,0.052
"P09","Puede que lo vote",0.088,0.213,0.175,0.234,0.144
"P09","Nunca lo votaría",0.139,0.487,0.436,0.203,0.288
"P09","No sabe",0.044,0.009,0.251,0.477,0.516
