"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Al candidato del Frente de Todos",0.42,0.286,0.498,0.443
"P07","Al candidato de Juntos por el Cambio",0.236,0.398,0.267,0.17
"P07","Al candidato de los liberales - libertarios",0.325,0.255,0.092,0.178
"P07","Al candidato de Consenso Federal",0,0,0,0.002
"P07","Al candidato de la Izquierda",0,0,0.015,0.014
"P07","A otro candidato",0.019,0.052,0.084,0.039
"P07","No sabe",0,0.009,0.044,0.154
"P08","A Ariel Sujarchuk por el Frente de Todos",0.415,0.312,0.612,0.548
"P08","A Roberto Costa por Juntos por el cambio",0.126,0.251,0.167,0.148
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.062,0.184,0.066,0.054
"P08","A Jesica Avejera por Juntos por el Cambio",0.107,0.059,0,0.048
"P08","A Ricardo Choffi por  Consenso Federal",0,0.006,0.004,0.016
"P08","A Griselda Romariz por los liberales libertarios",0.286,0.106,0.042,0.106
"P08","A Sandro Salazar por el Frente de Izquierda",0,0.01,0.012,0.006
"P08","No sabe",0.004,0.072,0.097,0.074
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.218,0.186,0.467,0.333
"P09","A Roberto Costa por Juntos por el cambio",0.068,0.144,0.234,0.226
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.07,0.322,0.059,0.072
"P09","A Jesica Avejera por Juntos por el Cambio",0.117,0.042,0,0.007
"P09","A Ricardo Choffi por Consenso Federal",0.013,0.015,0.007,0.016
"P09","A Griselda Romariz por los liberales libertarios",0.482,0.099,0.075,0.119
"P09","A Sandro Salazar por el Frente de Izquierda",0.014,0.044,0.017,0.002
"P09","No sabe",0.018,0.148,0.141,0.225
"P10","A Ariel Sujarchuk por el Frente de Todos",0.415,0.299,0.571,0.547
"P10","A Roberto Costa por Juntos por el Cambio",0.256,0.294,0.243,0.171
"P10","A Ricardo Choffi por Consenso Federal",0,0.051,0.015,0.046
"P10","A Griselda Romariz por los liberales libertarios",0.192,0.157,0.039,0.067
"P10","A Sandro Salazar por el Frente de Izquierda",0.027,0.009,0.015,0.002
"P10","No sabe",0.11,0.19,0.117,0.167
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.334,0.266,0.496,0.421
"P12","A Roberto Costa por Juntos por el Cambio",0.198,0.359,0.233,0.197
"P12","A Ricardo Choffi por Consenso Federal",0,0.058,0.005,0.016
"P12","A Griselda Romariz por los liberales libertarios",0.374,0.211,0.074,0.093
"P12","A Sandro Salazar por el Frente de Izquierda",0.013,0,0.023,0.002
"P12","No sabe",0.081,0.106,0.169,0.271
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.31,0.167,0.471,0.387
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.175,0.372,0.267,0.204
"P13","A Ricardo Choffi por Consenso Federal",0.017,0.048,0.005,0.032
"P13","A Griselda Romariz por los liberales libertarios",0.388,0.181,0.066,0.092
"P13","A Sandro Salazar por el Frente de Izquierda",0.006,0,0.02,0.02
"P13","No sabe",0.104,0.232,0.171,0.265
"P14","Lo votaria",0.422,0.252,0.564,0.523
"P14","Puede que lo vote",0.074,0.181,0.072,0.161
"P14","Nunca lo votaría",0.485,0.515,0.342,0.189
"P14","No sabe",0.019,0.052,0.022,0.127
"P15","Lo votaria",0.407,0.26,0.192,0.208
"P15","Puede que lo vote",0.151,0.387,0.146,0.087
"P15","Nunca lo votaría",0.387,0.322,0.603,0.354
"P15","No sabe",0.055,0.031,0.059,0.351
"P16","Lo votaria",0.352,0.205,0.151,0.08
"P16","Puede que lo vote",0.095,0.456,0.176,0.204
