"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Al candidato del Frente de Todos",0.389,0.484,0.479,0.417
"P07","Al candidato de Juntos por el Cambio",0.074,0.211,0.322,0.226
"P07","Al candidato de los liberales - libertarios",0.492,0.252,0.08,0.168
"P07","Al candidato de Consenso Federal",0,0,0,0.002
"P07","Al candidato de la Izquierda",0.011,0,0.012,0.002
"P07","A otro candidato",0.02,0.053,0.081,0.038
"P07","No sabe",0.014,0,0.026,0.147
"P08","A Ariel Sujarchuk por el Frente de Todos",0.413,0.501,0.569,0.51
"P08","A Roberto Costa por Juntos por el cambio",0.073,0.15,0.18,0.174
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.052,0.099,0.092,0.056
"P08","A Jesica Avejera por Juntos por el Cambio",0.044,0.025,0.023,0.064
"P08","A Ricardo Choffi por  Consenso Federal",0,0,0.006,0.016
"P08","A Griselda Romariz por los liberales libertarios",0.367,0.156,0.034,0.098
"P08","A Sandro Salazar por el Frente de Izquierda",0.014,0,0.011,0.006
"P08","No sabe",0.037,0.069,0.085,0.076
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.203,0.275,0.457,0.318
"P09","A Roberto Costa por Juntos por el cambio",0.048,0.17,0.215,0.213
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.047,0.126,0.108,0.098
"P09","A Jesica Avejera por Juntos por el Cambio",0.048,0.038,0.017,0.023
"P09","A Ricardo Choffi por Consenso Federal",0,0.005,0.013,0.016
"P09","A Griselda Romariz por los liberales libertarios",0.59,0.252,0.055,0.094
"P09","A Sandro Salazar por el Frente de Izquierda",0.027,0.037,0.015,0.002
"P09","No sabe",0.037,0.097,0.12,0.236
"P10","A Ariel Sujarchuk por el Frente de Todos",0.361,0.473,0.534,0.525
"P10","A Roberto Costa por Juntos por el Cambio",0.219,0.215,0.252,0.205
"P10","A Ricardo Choffi por Consenso Federal",0,0.041,0.02,0.039
"P10","A Griselda Romariz por los liberales libertarios",0.291,0.198,0.012,0.072
"P10","A Sandro Salazar por el Frente de Izquierda",0.02,0,0.021,0.002
"P10","No sabe",0.109,0.073,0.161,0.157
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.401,0.37,0.457,0.393
"P12","A Roberto Costa por Juntos por el Cambio",0.058,0.216,0.271,0.236
"P12","A Ricardo Choffi por Consenso Federal",0.025,0.023,0.009,0.014
"P12","A Griselda Romariz por los liberales libertarios",0.467,0.3,0.055,0.082
"P12","A Sandro Salazar por el Frente de Izquierda",0,0,0.027,0.002
"P12","No sabe",0.049,0.091,0.181,0.273
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.343,0.25,0.434,0.37
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.102,0.236,0.309,0.214
"P13","A Ricardo Choffi por Consenso Federal",0.026,0.029,0.01,0.028
"P13","A Griselda Romariz por los liberales libertarios",0.475,0.321,0.04,0.07
"P13","A Sandro Salazar por el Frente de Izquierda",0.008,0,0.02,0.019
"P13","No sabe",0.046,0.164,0.187,0.299
"P14","Lo votaria",0.4,0.444,0.525,0.475
"P14","Puede que lo vote",0.08,0.162,0.072,0.154
"P14","Nunca lo votaría",0.433,0.364,0.387,0.248
"P14","No sabe",0.087,0.03,0.016,0.123
"P15","Lo votaria",0.393,0.202,0.21,0.233
"P15","Puede que lo vote",0.253,0.396,0.123,0.073
"P15","Nunca lo votaría",0.253,0.39,0.611,0.386
"P15","No sabe",0.101,0.012,0.056,0.308
"P16","Lo votaria",0.325,0.066,0.2,0.122
"P16","Puede que lo vote",0.149,0.482,0.14,0.187
"P16","Nunca lo votaría",0.331,0.344,0.575,0.149
"P16","No sabe",0.195,0.108,0.085,0.542
"P17","Lo votaria",0.326,0.221,0.252,0.223
"P17","Puede que lo vote",0.106,0.284,0.148,0.124
"P17","Nunca lo votaría",0.372,0.453,0.566,0.231
"P17","No sabe",0.196,0.042,0.034,0.422
"P18","Lo votaria",0.367,0.078,0.05,0.023
