"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y los espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.36,0.562,0.598,0.681,0.331,0.459,0.462,0.79,0.381
"P07","Al candidato de Juntos por el Cambio",0.269,0.225,0.262,0.142,0.33,0.272,0.327,0,0.249
"P07","Al candidato de los liberales - libertarios",0.284,0.167,0.043,0.142,0.048,0.192,0.171,0.127,0.105
"P07","Al candidato de Consenso Federal",0,0,0,0,0,0.019,0,0,0
"P07","Al candidato de la Izquierda",0,0,0.013,0.014,0.029,0.033,0,0,0.008
"P07","A otro candidato",0.056,0.013,0.036,0,0.137,0,0,0.083,0.172
"P07","No sabe",0.031,0.033,0.048,0.021,0.125,0.025,0.04,0,0.085
"P08","A Ariel Sujarchuk por el Frente de Todos",0.525,0.591,0.613,0.383,0.34,0.428,0.753,0.634,0.531
"P08","A Roberto Costa por Juntos por el cambio",0.131,0.227,0.219,0.187,0.192,0.242,0,0.018,0.08
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.102,0.057,0.051,0.105,0.077,0.061,0.041,0.265,0.058
"P08","A Jesica Avejera por Juntos por el Cambio",0.023,0,0.031,0.241,0.063,0,0,0,0.061
"P08","A Ricardo Choffi por  Consenso Federal",0.004,0,0,0,0,0,0,0,0.058
"P08","A Griselda Romariz por los liberales libertarios",0.144,0.112,0.02,0.02,0.118,0.108,0.206,0.077,0.012
"P08","A Sandro Salazar por el Frente de Izquierda",0,0,0.013,0.035,0.041,0,0,0,0.005
"P08","No sabe",0.071,0.013,0.053,0.029,0.169,0.161,0,0.006,0.195
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.289,0.534,0.41,0.364,0.293,0.321,0.582,0.282,0.378
"P09","A Roberto Costa por Juntos por el cambio",0.198,0.219,0.238,0.437,0.211,0.031,0,0.018,0.08
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.122,0.063,0.077,0.115,0.046,0.337,0.212,0.136,0.059
"P09","A Jesica Avejera por Juntos por el Cambio",0.027,0.005,0.006,0,0.069,0,0,0,0.061
"P09","A Ricardo Choffi por Consenso Federal",0.013,0.003,0.003,0.029,0,0,0,0,0.051
"P09","A Griselda Romariz por los liberales libertarios",0.236,0.116,0.02,0.02,0.16,0.108,0.206,0.429,0.017
"P09","A Sandro Salazar por el Frente de Izquierda",0.001,0.013,0.018,0.014,0.075,0.042,0,0,0.013
"P09","No sabe",0.114,0.047,0.228,0.021,0.146,0.161,0,0.135,0.341
"P10","A Ariel Sujarchuk por el Frente de Todos",0.48,0.598,0.623,0.415,0.342,0.447,0.582,0.334,0.531
"P10","A Roberto Costa por Juntos por el Cambio",0.26,0.256,0.237,0.436,0.209,0.194,0,0.018,0.145
"P10","A Ricardo Choffi por Consenso Federal",0.014,0,0.002,0.115,0.005,0.109,0.212,0,0.044
"P10","A Griselda Romariz por los liberales libertarios",0.129,0.124,0.018,0.02,0.013,0.192,0.171,0.054,0.023
"P10","A Sandro Salazar por el Frente de Izquierda",0.005,0.013,0.016,0.014,0.041,0,0,0,0.008
"P10","No sabe",0.112,0.009,0.104,0,0.39,0.058,0.035,0.594,0.249
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.338,0.552,0.573,0.606,0.312,0.386,0.462,0.282,0.364
"P12","A Roberto Costa por Juntos por el Cambio",0.278,0.226,0.213,0.225,0.271,0.303,0,0.018,0.149
"P12","A Ricardo Choffi por Consenso Federal",0.023,0,0.007,0.087,0,0,0,0,0.005
"P12","A Griselda Romariz por los liberales libertarios",0.209,0.166,0.062,0.02,0.042,0.225,0.206,0.429,0.042
"P12","A Sandro Salazar por el Frente de Izquierda",0.013,0,0.014,0.014,0.029,0.042,0,0.006,0.018
"P12","No sabe",0.139,0.056,0.131,0.048,0.346,0.044,0.332,0.265,0.422
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.304,0.545,0.44,0.596,0.296,0.32,0.291,0.263,0.37
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.306,0.192,0.27,0.292,0.259,0.211,0.171,0.136,0.179
"P13","A Ricardo Choffi por Consenso Federal",0.016,0.003,0.004,0.068,0,0.127,0,0,0.059
"P13","A Griselda Romariz por los liberales libertarios",0.197,0.173,0.024,0.02,0.062,0.225,0.206,0.447,0.017
"P13","A Sandro Salazar por el Frente de Izquierda",0.018,0.003,0.014,0.014,0.029,0.042,0,0.006,0.013
"P13","No sabe",0.159,0.084,0.248,0.01,0.354,0.075,0.332,0.148,0.362
"P14","Lo votaria",0.444,0.563,0.563,0.476,0.299,0.467,0.794,0.481,0.531
"P14","Puede que lo vote",0.071,0.146,0.122,0.325,0.119,0.109,0,0.309,0.06
"P14","Nunca lo votaría",0.467,0.26,0.295,0.179,0.391,0.308,0.206,0.21,0.261
"P14","No sabe",0.018,0.031,0.02,0.02,0.191,0.116,0,0,0.148
"P15","Lo votaria",0.279,0.17,0.213,0.442,0.209,0.194,0.291,0.018,0.169
"P15","Puede que lo vote",0.197,0.129,0.096,0.145,0.256,0.212,0.212,0.136,0.076
"P15","Nunca lo votaría",0.395,0.606,0.583,0.336,0.372,0.594,0.497,0.737,0.622
"P15","No sabe",0.129,0.095,0.108,0.077,0.163,0,0,0.109,0.133
"P16","Lo votaria",0.228,0.128,0.105,0.398,0.113,0.194,0.041,0,0.152
"P16","Puede que lo vote",0.247,0.222,0.222,0.187,0.186,0.196,0.171,0.136,0.085
"P16","Nunca lo votaría",0.359,0.409,0.46,0.052,0.302,0.503,0.753,0.811,0.56
"P16","No sabe",0.166,0.241,0.213,0.363,0.399,0.107,0.035,0.053,0.203
"P17","Lo votaria",0.186,0.278,0.222,0.525,0.242,0.306,0.291,0.262,0.271
"P17","Puede que lo vote",0.086,0.265,0.254,0.117,0.066,0.227,0.342,0,0.115
"P17","Nunca lo votaría",0.578,0.326,0.383,0.26,0.397,0.436,0.291,0.456,0.444
"P17","No sabe",0.15,0.131,0.141,0.098,0.295,0.031,0.076,0.282,0.17
"P18","Lo votaria",0.09,0.04,0.076,0,0.044,0.039,0.171,0.173,0.108
"P18","Puede que lo vote",0.122,0.067,0.193,0.054,0.139,0.123,0,0,0.111
"P18","Nunca lo votaría",0.61,0.618,0.487,0.491,0.522,0.534,0.753,0.564,0.475
"P18","No sabe",0.178,0.275,0.244,0.455,0.295,0.304,0.076,0.263,0.306
"P19","Lo votaria",0.232,0.066,0.089,0,0.116,0.219,0,0.054,0.069
"P19","Puede que lo vote",0.147,0.108,0.235,0.054,0.161,0.161,0,0,0.052
"P19","Nunca lo votaría",0.428,0.548,0.465,0.491,0.376,0.363,0.753,0.684,0.489
"P19","No sabe",0.193,0.278,0.211,0.455,0.347,0.257,0.247,0.262,0.39
"P20","Lo votaria",0.152,0.068,0.093,0,0.038,0.192,0,0.054,0.011
"P20","Puede que lo vote",0.207,0.125,0.144,0.102,0.205,0.124,0.171,0.017,0.059
"P20","Nunca lo votaría",0.416,0.514,0.534,0.545,0.368,0.474,0.753,0.684,0.6
"P20","No sabe",0.225,0.293,0.229,0.353,0.389,0.21,0.076,0.245,0.33
"P21","Muy buena",0.294,0.431,0.275,0.592,0.31,0.342,0.171,0.261,0.388
"P21","Buena",0.101,0.221,0.176,0.169,0.133,0.105,0.332,0.564,0.138
"P21","Ni buena ni mala",0.28,0.215,0.384,0.117,0.206,0.287,0.291,0.113,0.212
"P21","Mala",0.156,0.093,0.044,0.02,0.175,0.163,0,0,0.193
"P21","Muy mala",0.169,0.04,0.088,0.102,0.137,0.078,0.206,0.006,0.042
"P21","No sabe",0,0,0.033,0,0.039,0.025,0,0.056,0.027
"P22","Que continúe el intendente Ariel Sujarchuk",0.303,0.387,0.475,0.549,0.254,0.225,0.171,0.526,0.452
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.134,0.348,0.113,0.164,0.214,0.253,0.332,0.264,0.108
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.145,0.036,0.196,0.058,0.127,0.109,0.291,0.094,0.114
"P22","Que cambie el intendente Ariel Sujarchuk",0.418,0.229,0.216,0.229,0.405,0.413,0.206,0.116,0.326
"P23","La seguridad",0.085,0.043,0.033,0.539,0.075,0,0,0,0.058
"P23","El tránsito",0.048,0.146,0.047,0,0,0,0,0.019,0
"P23","El arreglo de las calles",0.275,0.221,0.382,0.01,0.19,0.489,0,0.468,0.3
"P23","Los parques y los espacios públicos",0.168,0.204,0.142,0.327,0.213,0.033,0,0.024,0.058
"P23","El sistema de salud",0.032,0.172,0.114,0.022,0.196,0.021,0,0,0.126
"P23","La limpieza de las calles",0.049,0.029,0.003,0,0.047,0.092,0,0,0
"P23","El deporte y la cultura",0.072,0.067,0.076,0,0.118,0.151,0.965,0.053,0.03
"P23","La luminaria",0.082,0.019,0.031,0,0.022,0.057,0,0.309,0
"P23","No sabe",0.189,0.099,0.172,0.102,0.139,0.157,0.035,0.127,0.428
"P25","Agua corriente y cloacas",0.594,0.457,0.447,0.401,0.629,0.725,0.678,0.34,0.604
"P25","Energía eléctrica",0.191,0.242,0.14,0.288,0.081,0.032,0.029,0.322,0.03
"P25","Red de gas natural",0.049,0.055,0.175,0,0.079,0,0.259,0.015,0.039
"P25","Recolección de residuos",0.071,0.083,0.194,0.311,0.156,0.188,0.034,0.309,0.026
"P25","Ninguno",0.095,0.163,0.044,0,0.055,0.055,0,0.014,0.301
"P26","Los robos",0.644,0.56,0.327,0.807,0.194,0.51,0.42,0.253,0.392
"P26","El narcotráfico",0.122,0.184,0.203,0.047,0.228,0.135,0.029,0.059,0.085
"P26","La ausencia de patrulleros y personal policial",0.165,0.195,0.371,0.009,0.255,0,0.517,0.38,0.184
"P26","Otro",0.067,0.046,0.096,0.137,0.232,0.264,0.034,0.308,0.148
"P26","Ninguno",0.002,0.015,0.003,0,0.091,0.091,0,0,0.191
"P27","Muy buena",0.243,0.488,0.338,0.326,0.255,0.237,0.263,0.075,0.389
"P27","Buena",0.191,0.157,0.13,0.075,0.214,0.198,0.489,0.413,0.135
"P27","Ni buena ni mala",0.24,0.235,0.331,0.072,0.343,0.283,0,0.366,0.245
"P27","Mala",0.095,0.09,0.114,0.37,0.072,0.206,0,0,0.068
