"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmann","Rioseco","Eguía"
"Ramón Rioseco",0.257,0.27,0.245,0.221,0.238,0.267,0.394,0.21,0.272,0.329,0.187,0.322,0.687,0.192
"Rubén Ojito García",0.363,0.376,0.352,0.418,0.354,0.368,0.244,0.394,0.364,0.287,0.592,0.457,0.055,0.193
"Otros candidatos",0.239,0.181,0.293,0.267,0.234,0.271,0.127,0.266,0.237,0.177,0.172,0.166,0.175,0.44
"En blanco",0.057,0.08,0.035,0.032,0.075,0.046,0.082,0.08,0.025,0.09,0.037,0.013,0.006,0.118
"No sabe",0.084,0.093,0.075,0.062,0.099,0.048,0.153,0.05,0.102,0.117,0.012,0.042,0.077,0.057
