"var","categoria","Positiva","Negativa","No sabe"
"P07","Inflación",0.32,0.412,0.183
"P07","Inseguridad",0.134,0.106,0.101
"P07","Pandemia",0.125,0.107,0.052
"P07","Educación",0.095,0.07,0.023
"P07","Transporte público",0.012,0,0.076
"P07","Desempleo",0.145,0.112,0.145
"P07","Corrupción",0.043,0.174,0.202
"P07","Vivienda",0.049,0.001,0.012
"P07","Otros",0.036,0.013,0.005
"P07","No sabe",0.041,0.005,0.201
"P08","Gerardo Zamora",0.786,0.133,0.136
"P08","Pablo Mirolo",0.035,0.117,0.11
"P08","Rodrigo Posse",0.013,0.159,0.002
"P08","Natalia Neme",0.027,0.073,0
"P08","Emilio Rached",0.012,0.134,0.101
"P08","Marcelo Lugones",0.005,0.089,0.043
"P08","No sabe",0.122,0.295,0.608
"P09","Gerardo Zamora",0.568,0.183,0.291
"P09","Pablo Mirolo",0.129,0.132,0.12
"P09","Rodrigo Posse",0.008,0.121,0.014
"P09","Natalia Neme",0.025,0.153,0.006
"P09","Emilio Rached",0.049,0.109,0.109
"P09","Marcelo Lugones",0.017,0.063,0
"P09","No sabe",0.204,0.239,0.46
"P10","A los candidatos del Frente Cívico por Santiago",0.623,0.186,0.276
"P10","A los candidatos del Frente de Todos",0.061,0.098,0.035
"P10","A los candidatos de Cambiemos",0.049,0.365,0.158
"P10","A otros candidatos",0.042,0.201,0.004
"P10","No sabe",0.225,0.15,0.527
"P11","Positiva",0.433,0.049,0.178
"P11","Negativa",0.428,0.941,0.567
"P11","No sabe",0.139,0.01,0.255
"P12","Positiva",0.695,0.079,0.186
"P12","Negativa",0.19,0.916,0.417
"P12","No sabe",0.115,0.005,0.397
"P13","Positiva",0.737,0.088,0.438
"P13","Negativa",0.184,0.902,0.088
"P13","No sabe",0.079,0.01,0.474
"P14","Positiva",0.65,0.253,0.129
"P14","Negativa",0.298,0.747,0.182
"P14","No sabe",0.052,0,0.689
"P15","Positiva",0.701,0.034,0.28
"P15","Negativa",0.233,0.948,0.375
"P15","No sabe",0.066,0.018,0.345
"P17","Positiva",0.562,0.095,0.106
"P17","Negativa",0.379,0.824,0.109
"P17","No sabe",0.059,0.081,0.785
"P19","Positiva",0.119,0.401,0.156
"P19","Neutra",0.227,0.305,0.243
"P19","Negativa",0.557,0.278,0.325
"P19","No sabe",0.097,0.016,0.276
"P20","Positiva",0.646,0.102,0.281
"P20","Neutra",0.223,0.177,0.329
"P20","Negativa",0.096,0.703,0.298
"P20","No sabe",0.035,0.018,0.092
"P21","Positiva",0.65,0.109,0.44
"P21","Neutra",0.123,0.199,0.073
"P21","Negativa",0.177,0.688,0.316
"P21","No sabe",0.05,0.004,0.171
"P22","Positiva",0.199,0.495,0.162
"P22","Neutra",0.327,0.185,0.215
"P22","Negativa",0.182,0.169,0.125
"P22","No sabe",0.292,0.151,0.498
"P23","Positiva",0.366,0.143,0.157
"P23","Neutra",0.294,0.208,0.382
"P23","Negativa",0.17,0.597,0.249
"P23","No sabe",0.17,0.052,0.212
"P24","Positiva",0.125,0.36,0.216
"P24","Neutra",0.274,0.309,0.222
"P24","Negativa",0.371,0.205,0.259
"P24","No sabe",0.23,0.126,0.303
"P25","Positiva",0.18,0.501,0.398
"P25","Neutra",0.333,0.232,0.117
"P25","Negativa",0.313,0.13,0.091
"P25","No sabe",0.174,0.137,0.394
"P26","Positiva",0.89,0.121,0.14
"P26","Neutra",0.08,0.309,0.562
"P26","Negativa",0.021,0.562,0.025
"P26","No sabe",0.009,0.008,0.273
"P27","Positiva",0.336,0.204,0.167
"P27","Neutra",0.41,0.385,0.187
"P27","Negativa",0.065,0.269,0.174
"P27","No sabe",0.189,0.142,0.472
"P28","Positiva",0.075,0.163,0.166
"P28","Neutra",0.385,0.399,0.262
"P28","Negativa",0.123,0.146,0.024
"P28","No sabe",0.417,0.292,0.548
"P29","Positiva",0.155,0.224,0.001
"P29","Neutra",0.399,0.31,0.319
"P29","Negativa",0.115,0.169,0.034
"P29","No sabe",0.331,0.297,0.646
"P30","Positiva",0.239,0.294,0.223
"P30","Neutra",0.341,0.233,0.297
"P30","Negativa",0.19,0.214,0.046
"P30","No sabe",0.23,0.259,0.434
"P31","Positiva",0.164,0.242,0.047
"P31","Neutra",0.399,0.332,0.438
"P31","Negativa",0.062,0.145,0.037
"P31","No sabe",0.375,0.281,0.478
"P32","Positiva",0.108,0.144,0.229
"P32","Neutra",0.342,0.392,0.251
"P32","Negativa",0.061,0.126,0.022
"P32","No sabe",0.489,0.338,0.498
"P33","Positiva",0.235,0.263,0.388
"P33","Neutra",0.305,0.327,0.298
"P33","Negativa",0.279,0.249,0.084
"P33","No sabe",0.181,0.161,0.23
"P34","Positiva",0.847,0.209,0.4
"P34","Neutra",0.086,0.196,0.261
"P34","Negativa",0.041,0.475,0.054
"P34","No sabe",0.026,0.12,0.285
"P35","Positiva",0.53,0.125,0.037
"P35","Neutra",0.266,0.283,0.54
"P35","Negativa",0.084,0.423,0.024
"P35","No sabe",0.12,0.169,0.399
