"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P24","Buena",0.103,0.202,0.081,0.108,0.093,0.025
"P24","Ni buena ni mala",0.28,0.434,0.462,0.077,0.157,0.122
"P24","Mala",0,0.103,0.105,0.367,0.052,0.107
"P24","Muy mala",0.069,0.012,0.191,0.25,0.597,0.175
"P24","No sabe",0.013,0,0.064,0,0,0.472
"P25","Muy buena",0.522,0.354,0.17,0.208,0.17,0.103
"P25","Buena",0.157,0.173,0.13,0.064,0.074,0.072
"P25","Ni buena ni mala",0.078,0.343,0.452,0.184,0.167,0.177
"P25","Mala",0.039,0.08,0.105,0.32,0.099,0.091
"P25","Muy mala",0.069,0.008,0.142,0.213,0.49,0.095
"P25","No sabe",0.135,0.042,0.001,0.011,0,0.462
"P26","Muy buena",0.319,0.476,0.357,0.435,0.318,0.392
"P26","Buena",0.13,0.157,0.221,0.279,0.205,0.187
"P26","Ni buena ni mala",0.353,0.152,0.266,0.041,0.066,0.183
"P26","Mala",0.063,0.056,0.079,0.023,0.197,0.035
"P26","Muy mala",0.135,0.153,0.072,0.222,0.213,0.126
"P26","No sabe",0,0.006,0.005,0,0.001,0.077
"P27","Muy buena",0.449,0.089,0.094,0.102,0.009,0.064
"P27","Buena",0.234,0.315,0.165,0.276,0.428,0.078
"P27","Ni buena ni mala",0.209,0.497,0.521,0.336,0.215,0.253
"P27","Mala",0.051,0.043,0.048,0.089,0.006,0.03
"P27","Muy mala",0.038,0.013,0.073,0.182,0.256,0.131
"P27","No sabe",0.019,0.043,0.099,0.015,0.086,0.444
"P28","Muy buena",0.327,0.044,0,0,0.114,0.063
"P28","Buena",0.04,0.253,0.064,0.025,0,0.005
"P28","Ni buena ni mala",0.248,0.473,0.656,0.556,0.181,0.101
"P28","Mala",0.094,0.033,0.028,0.254,0.145,0.033
"P28","Muy mala",0.014,0.005,0.053,0.101,0.455,0.009
"P28","No sabe",0.277,0.192,0.199,0.064,0.105,0.789
"P30","Muy buena",0.511,0.084,0.03,0.13,0,0.078
"P30","Buena",0.015,0.536,0.219,0.11,0.094,0.056
"P30","Ni buena ni mala",0.235,0.302,0.519,0.389,0.011,0.121
"P30","Mala",0.063,0.034,0.133,0.236,0.107,0.076
"P30","Muy mala",0.015,0.017,0.051,0.065,0.762,0.028
"P30","No sabe",0.161,0.027,0.048,0.07,0.026,0.641
"P31","Muy buena",0.361,0.05,0.085,0.159,0.09,0.007
"P31","Buena",0.069,0.341,0.133,0.023,0.011,0.044
"P31","Ni buena ni mala",0.499,0.351,0.566,0.517,0.447,0.126
"P31","Mala",0.012,0.008,0.031,0.218,0.008,0.003
"P31","Muy mala",0,0,0.044,0.039,0.39,0.047
"P31","No sabe",0.059,0.25,0.141,0.044,0.054,0.773
"P32","Muy buena",0.292,0.152,0.047,0.011,0.09,0.014
"P32","Buena",0.07,0.295,0.041,0,0.017,0.047
"P32","Ni buena ni mala",0.221,0.227,0.615,0.66,0.333,0.072
"P32","Mala",0.045,0.005,0.048,0.126,0.056,0.004
"P32","Muy mala",0.024,0.005,0.014,0.034,0.353,0.042
"P32","No sabe",0.348,0.316,0.235,0.169,0.151,0.821
"P33","Muy buena",0.315,0.121,0.047,0.042,0.036,0.101
"P33","Buena",0.025,0.416,0.193,0.02,0.036,0.135
"P33","Ni buena ni mala",0.373,0.327,0.449,0.24,0.163,0.191
"P33","Mala",0.053,0.061,0.135,0.566,0.272,0.121
"P33","Muy mala",0.208,0.034,0.063,0.077,0.416,0.093
"P33","No sabe",0.026,0.041,0.113,0.055,0.077,0.359
"P34","Muy buena",0.358,0.38,0.397,0.447,0.236,0.446
"P34","Buena",0.059,0.266,0.197,0.268,0.086,0.191
"P34","Ni buena ni mala",0.342,0.077,0.174,0.011,0.265,0.084
"P34","Mala",0.166,0.096,0.114,0.21,0.129,0.017
"P34","Muy mala",0.075,0.181,0.072,0.064,0.284,0.084
"P34","No sabe",0,0,0.046,0,0,0.178
"P35","Muy buena",0.532,0.308,0.084,0.347,0.094,0.151
"P35","Buena",0.14,0.257,0.225,0.086,0.284,0.121
"P35","Ni buena ni mala",0.11,0.229,0.461,0.087,0.292,0.184
"P35","Mala",0.091,0.063,0.023,0.241,0.026,0.082
"P35","Muy mala",0.127,0.119,0.137,0.239,0.304,0.079
"P35","No sabe",0,0.024,0.07,0,0,0.383
