"var","categoria","Mucho mejor","Mejor","Peor","Mucho peor","No sabe"
"P07","Inflación",0.373,0.28,0.419,0.389,0.145
"P07","Inseguridad",0.193,0.091,0.077,0.114,0.125
"P07","Pandemia",0.093,0.2,0.057,0.126,0.045
"P07","Educación",0.078,0.065,0.064,0.073,0.109
"P07","Transporte público",0.017,0.005,0.013,0.019,0.064
"P07","Desempleo",0.09,0.182,0.181,0.116,0.072
"P07","Corrupción",0.028,0.066,0.094,0.141,0.194
"P07","Vivienda",0.073,0.03,0.011,0.002,0.123
"P07","Otros",0.034,0.037,0.012,0.013,0.03
"P07","No sabe",0.021,0.044,0.072,0.007,0.093
"P08","Gerardo Zamora",0.924,0.718,0.378,0.161,0.276
"P08","Pablo Mirolo",0.009,0.068,0.116,0.071,0.043
"P08","Rodrigo Posse",0,0.018,0.035,0.169,0.024
"P08","Natalia Neme",0.054,0.002,0.046,0.057,0.021
"P08","Emilio Rached",0,0.006,0.092,0.104,0.097
"P08","Marcelo Lugones",0,0.007,0.046,0.101,0
"P08","No sabe",0.013,0.181,0.287,0.337,0.539
"P09","Gerardo Zamora",0.553,0.527,0.394,0.245,0.4
"P09","Pablo Mirolo",0.114,0.156,0.158,0.077,0.082
"P09","Rodrigo Posse",0.012,0.002,0.076,0.098,0
"P09","Natalia Neme",0.046,0.021,0.057,0.133,0.022
"P09","Emilio Rached",0.066,0.04,0.055,0.107,0.077
"P09","Marcelo Lugones",0.003,0.026,0.031,0.073,0.01
"P09","No sabe",0.206,0.228,0.229,0.267,0.409
"P10","A los candidatos del Frente Cívico por Santiago",0.672,0.616,0.387,0.175,0.369
"P10","A los candidatos del Frente de Todos",0.087,0.058,0.068,0.087,0.047
"P10","A los candidatos de Cambiemos",0.011,0.046,0.223,0.322,0.135
"P10","A otros candidatos",0.047,0.032,0.045,0.233,0.026
"P10","No sabe",0.183,0.248,0.277,0.183,0.423
"P11","Mucho mejor",0.39,0.092,0.138,0,0.014
"P11","Mejor",0.221,0.351,0.067,0.016,0.08
"P11","Peor",0.192,0.22,0.413,0.081,0.268
"P11","Mucho peor",0.102,0.184,0.327,0.888,0.265
